epoch,lambda,loss,L_pred,L_cons,scheduled_batches,scheduled_examples
1,1.0,0.6798154246453908,0.5795806232794839,0.10023480005999157,252,8033
2,1.0,0.5825049763789557,0.5170497763250382,0.06545520199470423,252,8033
3,1.0,0.5384404028610618,0.4923563704875907,0.046084031117872494,252,8033
4,1.0,0.5144317907509732,0.48102323534137564,0.03340855533400657,252,8033
5,1.0,0.49905545179431055,0.47007936757898683,0.02897608467234772,252,8033
6,1.0,0.48884812518666754,0.4614032366705255,0.027444889015946747,252,8033
7,1.0,0.4663799560398001,0.43698647847941935,0.029393478852847318,252,8033
8,1.0,0.4465391888322264,0.4167115649443315,0.0298276249790947,252,8033
9,1.0,0.42738815945452924,0.400185658041929,0.027202502046544213,252,8033
10,1.0,0.4096335617257993,0.38308775916159504,0.026545803098210464,252,8033
11,1.0,0.3975389440270686,0.3723029415967766,0.02523600143137807,252,8033
12,1.0,0.3882451612151279,0.36517486131667615,0.023070299837236963,252,8033
13,1.0,0.38343031955962903,0.3611302218044827,0.02230009828555852,252,8033
14,1.0,0.3785007912514887,0.35758179773447984,0.02091899354437005,252,8033
15,1.0,0.37482487409657683,0.3542083429322658,0.02061653239185288,252,8033
