window,prediction_mse,layer0_spectral_l1,layer1_spectral_l1,layer2_spectral_l1
0.0,0.06926208734512329,0.07531951403981982,0.09917829019458752,0.09126969846100455
2.0,0.07231846451759338,0.07455373187605562,0.09875663949674603,0.09496958689217981
4.0,0.0981355831027031,0.07629485274680725,0.0967510056302547,0.09111320489209694
6.0,0.11554243415594101,0.07944815588926299,0.10152506442610874,0.09020271805182879
8.0,0.12898209691047668,0.07957030944243487,0.10649636325996764,0.09475979061585264
10.0,0.1185334101319313,0.08041605923846139,0.10521842393191673,0.0951391148908542
12.0,0.12963154911994934,0.07798826618071251,0.10293083568715328,0.0890819613629479
14.0,0.13093718886375427,0.07646860885183768,0.1022592867118506,0.0846568041372482
16.0,0.10455412417650223,0.07797995999950778,0.10016412794478287,0.08307685897850937
18.0,0.07342055439949036,0.08051318756002733,0.10244937513903207,0.08459356652678461
20.0,0.06516855955123901,0.07987212972965622,0.10590765327258275,0.08895796918699343
22.0,0.0624966025352478,0.07931576787673764,0.10209608292780845,0.08992321195797817
24.0,0.05404207855463028,0.07579034626362034,0.0987220955113089,0.08990303955862954
26.0,0.0647864043712616,0.0740101445924385,0.0986895688228436,0.09391838801465369
28.0,0.08649026602506638,0.07471600398276018,0.0967690473254519,0.09181757815633919
30.0,0.10103151202201843,0.07754487069173953,0.10180174544131186,0.09148787219891678
32.0,0.12393166124820709,0.07776860733700953,0.10582809423253718,0.0950152477210686
34.0,0.12386748939752579,0.07802085903080508,0.10531785984659096,0.09397356184120477
36.0,0.1403304785490036,0.07494444899537067,0.1021096561284932,0.08934195267111854
38.0,0.15563444793224335,0.07469483992602814,0.10228106595169616,0.0849822828966271
40.0,0.10542621463537216,0.07547308040873547,0.09956298466206982,0.08497022806951242
42.0,0.07741350680589676,0.07898088815001067,0.10403440760699732,0.08717805615050643
44.0,0.07694696635007858,0.07825403109240141,0.10529967487051041,0.09192620310723668
46.0,0.08099211752414703,0.07916274474700247,0.1040143678087479,0.09171298340299085
48.0,0.0761203020811081,0.07516430117573665,0.10076247434617391,0.09197964850698276
50.0,0.07970836758613586,0.07524694624396576,0.10153355713641568,0.09566432679448952
52.0,0.10099402070045471,0.07541522489337314,0.09716164436206838,0.09095715000407276
54.0,0.12699997425079346,0.07829138400648826,0.10145636502877316,0.08966361221166841
56.0,0.1449127048254013,0.07870699120227939,0.10598178792843967,0.09326039157640778
58.0,0.1302690953016281,0.07895262600729235,0.10471922197291943,0.09348596497146643
