window,spectral_l1,dc_l1,non_dc_low_l1,low_band_l1,mid_band_l1,high_band_l1,prediction_mse
0,0.1624380772035345,0.7093894307897725,0.16958918809704807,0.24670350848172304,0.1049773440574513,0.13898396633794244,24.734567642211914
1,0.15363389971788435,0.5471927292989427,0.14491920442095363,0.20238685083209493,0.07754857497947994,0.17754972663905402,25.41527557373047
2,0.1782338314971703,0.6353234524838123,0.1582176391508738,0.22637561248415075,0.09462477917572355,0.20926769391482822,27.01262664794922
3,0.18012909333592414,0.7315995108436785,0.16806529013066507,0.24857017880395268,0.1094871936942337,0.1820548057378783,30.94755744934082
4,0.17785531777146987,0.814783078987365,0.1557170353376355,0.24986932728759687,0.13514542090139098,0.15221421920617778,25.65413475036621
5,0.1744484639252055,0.769122752039797,0.16195455441540985,0.2486928683617509,0.13458775459157962,0.14436273071015096,25.222326278686523
6,0.1644497616416224,0.760809053677685,0.16004084902381185,0.24586487826007947,0.11251502498269143,0.13865442917703708,26.754051208496094
7,0.16604254481043781,0.607952503210512,0.15958608677521727,0.22363843198025937,0.08918957323022167,0.18289249366953308,29.618146896362305
8,0.18924736895904815,0.6937330641721585,0.17219779803829316,0.2467028360574168,0.10261514660324836,0.21477702980930036,31.9504337310791
9,0.18450211547044273,0.7643041191866409,0.17540966290019136,0.2595374423696842,0.11668028467389355,0.17819030638058717,36.78294372558594
10,0.1818246210757729,0.8327988115315471,0.1624168488387379,0.25818570065199636,0.14432580351204885,0.14782014181483594,29.92632293701172
11,0.17603450739808368,0.7477125313077183,0.17004485152452156,0.252568805779264,0.1428130317380087,0.1381357875171165,30.790021896362305
12,0.16327716498051717,0.7256851073466793,0.16694475171247394,0.24676480251736047,0.11206368490471255,0.13503727720210829,31.601715087890625
13,0.167663364747437,0.5776339434693103,0.15452765371838947,0.21497140939709244,0.09013543347464568,0.1941057655426809,34.32748794555664
14,0.1915180077088844,0.6761936158313583,0.16186609369724977,0.23534145400212245,0.10055024154795895,0.23276928759311089,38.71076965332031
15,0.19163537504287895,0.7583037068223903,0.18521557970593083,0.26708531215113934,0.10749156768337613,0.19924251151271602,45.55634689331055
16,0.1993364763158058,0.8512258172444432,0.18327439866563475,0.2786960298911788,0.14968484854972813,0.17334204123267233,35.097145080566406
17,0.19098076999452662,0.8306481770305396,0.16921434453142403,0.26370489203129766,0.15000146524313338,0.16320405486982106,31.848491668701172
18,0.17578652468928577,0.8085764987151666,0.16016289980490672,0.25279341393494387,0.12242927904629994,0.15509308653694753,31.385103225708008
19,0.1714185602270029,0.6428381350515067,0.15951622563288248,0.22856221269268592,0.09114644636642032,0.19165596394753992,32.29549026489258
20,0.18408877711104915,0.7068455071258238,0.16327816026127076,0.24093063838477832,0.09903378364811254,0.20877526777660566,33.84563446044922
21,0.18246440992742433,0.7419814360930128,0.17880949039729424,0.2592626254966826,0.10903550629963916,0.17951626197863532,41.88167953491211
22,0.17917084588410315,0.8076523656871369,0.17023948942715827,0.26129847175001236,0.12806273276752614,0.1520287722284375,31.960025787353516
23,0.17206616576842565,0.8155484828065026,0.16527958381025276,0.258175140809717,0.12228167430478741,0.14028224263797917,28.960968017578125
24,0.15861110705051817,0.7735325004125376,0.16539223653848978,0.2522694170919252,0.09151113731996523,0.1353725592785209,27.982852935791016
25,0.1628270930991842,0.6190326244974229,0.16241237003100364,0.2276438349547778,0.08405084210144843,0.1750416635985586,28.837051391601562
26,0.17807221053501646,0.6783392918859661,0.15791445470208498,0.23226086001406795,0.09692237769715487,0.20166324597397522,30.90087127685547
27,0.1826921251607394,0.7453161065287435,0.18798419451747783,0.2676030390905158,0.11058486698483565,0.17148892637610086,34.784767150878906
28,0.19145772930716837,0.8688585211038002,0.18642228637716154,0.28391317705239566,0.1428155139482354,0.15312115096916082,30.3714542388916
29,0.1869071086215765,0.9002565073675959,0.17160575500841335,0.27569871963115367,0.14285336190369907,0.14776147736633916,30.1777400970459
30,0.17832364960922475,0.8420162106941362,0.16853869343424008,0.2647497673285109,0.12152365714340092,0.15240079001244522,31.679214477539062
31,0.17497021515686528,0.666075665344988,0.16831734129914336,0.2394256733056926,0.1005098890940449,0.1837244745816092,34.33020782470703
32,0.20136813758973726,0.6946223032876482,0.17587984417404687,0.24998590976170418,0.12468244205971038,0.2259275705280397,37.381797790527344
33,0.19617091605130857,0.778216280102423,0.20010815513634517,0.28269503013149916,0.12154489007244888,0.185760088962644,40.958675384521484
34,0.18965655628322892,0.868354745516213,0.1766032177101038,0.275424864539548,0.1432607907782102,0.15520558137584112,32.38368606567383
35,0.1798878953974841,0.9900146482175185,0.15712207160564481,0.2761067254073411,0.12641670420759896,0.14248371143000876,31.6057071685791
