window,spectral_l1,dc_l1,non_dc_low_l1,low_band_l1,mid_band_l1,high_band_l1,prediction_mse
0,0.09126969846100455,0.8285926714903473,0.055796128909719495,0.16619563499266632,0.027712562337809284,0.08132199810359639,0.06926208734512329
1,0.09496958689217981,0.9177923205707327,0.05756206146714846,0.18045209848194624,0.029141824645897218,0.07777168121663147,0.07231846451759338
2,0.09111320489209694,0.8453978404226512,0.05702959107866499,0.16965362669923442,0.0313613761805776,0.07467318593343106,0.0981355831027031
3,0.09020271805182879,0.7996563685569436,0.05503112575728925,0.16140616044295417,0.033304901586541424,0.07768529536672056,0.11554243415594101
4,0.09475979061585264,0.8611323518761239,0.0549271631640546,0.1700993329800645,0.03397529180712632,0.08202412750480283,0.12898209691047668
5,0.0951391148908542,0.900236458815496,0.05148147024019024,0.17273218289380535,0.03335347371325931,0.08130761641866753,0.1185334101319313
6,0.0890819613629479,0.8123064846676978,0.0518476668679723,0.16048464083936168,0.03015509896731344,0.078165621417266,0.12963154911994934
7,0.0846568041372482,0.7902040470222536,0.04945944869786629,0.1552801056013502,0.02976616260501067,0.07089072669686677,0.13093718886375427
8,0.08307685897850937,0.7784737163799033,0.04909302860245809,0.1532902697135217,0.028173072201388212,0.06968093801535466,0.10455412417650223
9,0.08459356652678461,0.7932162382156172,0.045378581008585016,0.15221253203816104,0.02744989826751831,0.0754276814311882,0.07342055439949036
10,0.08895796918699343,0.8093247562249928,0.048483089601264566,0.15717475626179714,0.026781792333932304,0.08367243524296863,0.06516855955123901
11,0.08992321195797817,0.805694059270896,0.05072259962606059,0.15857566528960848,0.027343215257067708,0.08460981240609829,0.0624966025352478
12,0.08990303955862954,0.8152061961645223,0.053781824436633006,0.16255673468347429,0.02634004188456318,0.08194867928919838,0.05404207855463028
13,0.09391838801465369,0.9212662251306103,0.05689094043754792,0.18037312396512828,0.025800245328650624,0.07787386890824115,0.0647864043712616
14,0.09181757815633919,0.8671634067659142,0.05765550927641532,0.17329949463205802,0.028498786869330734,0.07592484361621761,0.08649026602506638
15,0.09148787219891678,0.8217211291551626,0.0554819858544543,0.16494472061169832,0.029340278244507127,0.08159227454784139,0.10103151202201843
16,0.0950152477210686,0.8766859912090493,0.053915286413320655,0.17145395852699616,0.029133813890390388,0.08577763036772541,0.12393166124820709
17,0.09397356184120477,0.8959738436075233,0.05025375863502138,0.17107091363109309,0.02962757277131502,0.08281611946120605,0.12386748939752579
18,0.08934195267111854,0.8343678169599533,0.05036470321226468,0.16236514803336305,0.028419642596352077,0.07875367804457527,0.1403304785490036
19,0.0849822828966271,0.8176100281896421,0.04788768946458538,0.15784802356816494,0.031200069111612532,0.06828419687091926,0.15563444793224335
20,0.08497022806951242,0.7931745524075529,0.049591098149182326,0.1558173059003781,0.031525859887478934,0.06974285712678419,0.10542621463537216
21,0.08717805615050643,0.8115772930567022,0.04524514774140396,0.1547211685007323,0.03206928787241322,0.07629800508739032,0.07741350680589676
22,0.09192620310723668,0.8334849713628583,0.04848551098702505,0.1606282910407155,0.02932710212734413,0.08658608952284869,0.07694696635007858
23,0.09171298340299085,0.8356283666325636,0.050216623799780334,0.1624183013473208,0.029713589531571778,0.08409529983919387,0.08099211752414703
24,0.09197964850698276,0.8425776737464219,0.05586088095158709,0.16824899420799205,0.026848473557346098,0.08223374909953168,0.0761203020811081
25,0.09566432679448952,0.9326062337727468,0.05871986652256165,0.18356077612973096,0.028322634852024815,0.07767891407580992,0.07970836758613586
26,0.09095715000407276,0.856852878052826,0.05752629442621607,0.17171580637287462,0.028132003538468512,0.07526532883877479,0.10099402070045471
27,0.08966361221166841,0.8006250640972993,0.05666148138117622,0.16294199319776523,0.02787165627501444,0.07961299029340592,0.12699997425079346
28,0.09326039157640778,0.8517727235674213,0.054620299296994024,0.1684992170499122,0.027050188766070682,0.08536034674613639,0.1449127048254013
29,0.09348596497146643,0.8891583929464124,0.04778109033901181,0.16797784785435477,0.027467849906279745,0.08607141813097749,0.1302690953016281
30,0.08786280685217761,0.8086178582084197,0.04794218375336748,0.1566101372469464,0.02552736848300875,0.08225240132977765,0.15119494497776031
31,0.08583672000644231,0.799046039426484,0.04745291764338191,0.15482336361239651,0.02989635385835354,0.07442122723081004,0.17438648641109467
32,0.08488153317405955,0.7844916815428076,0.04717300092216076,0.1525042410108246,0.03211439294739286,0.0718829115152235,0.13707426190376282
33,0.08706383219237507,0.7889728221125767,0.04309555217668067,0.14964944788180867,0.03456876598779262,0.0782346013931303,0.08991467952728271
34,0.09065970665309386,0.8009176506479485,0.04246034589796847,0.15081138943367992,0.03608042518464681,0.08578385550497225,0.08467826247215271
35,0.09058550147495249,0.7951187072493588,0.044850727140145465,0.1520318671557474,0.035777794011615835,0.08477667553467658,0.08860352635383606
36,0.09258427451964422,0.830187445085298,0.05032129088020882,0.16173074148093583,0.03426024196644801,0.08311464441256078,0.06235349923372269
37,0.09616873109348373,0.9343384280816522,0.051810522650442704,0.17788593771204408,0.03526844355806531,0.07795392689573455,0.07293637841939926
38,0.09264483432866925,0.8569083566717057,0.05218521051020283,0.1671456599618461,0.03648005095540927,0.07660079735124203,0.09434694796800613
39,0.09164757316306395,0.7861557216839268,0.05146805454358638,0.156423435563635,0.03554040667582578,0.08406246423889774,0.1281651109457016
40,0.09589366495148029,0.836869774086412,0.05191996206289836,0.16405564949482887,0.036243671001332335,0.08844567318242974,0.11899418383836746
41,0.09220421824412264,0.8287125233576136,0.04131370564151882,0.15379925102953235,0.03348176675678299,0.08969070960831134,0.14977507293224335
42,0.08727664810189507,0.7728524381071902,0.04280778345135422,0.1470998769736165,0.029469392148316398,0.08551267179852015,0.13357339799404144
43,0.08338110609133197,0.7794657251603443,0.04264322625366237,0.14790358324033123,0.029341048627182918,0.07420898886708804,0.16200442612171173
44,0.08029285852101499,0.7593392141578283,0.04093229509913845,0.1435618549646656,0.027788241575902907,0.07087402645979382,0.1082812249660492
45,0.07942156105593946,0.7106640040385968,0.03928276028140925,0.13519436653243605,0.027234746255439472,0.07628381921444244,0.09104806184768677
46,0.0835051091136069,0.7149578045533515,0.03783027940491308,0.13456278299754712,0.02918323157395914,0.08636128731235099,0.08519335091114044
47,0.0829547262438001,0.7098607430725111,0.039527162319866055,0.1352891024273868,0.02947519135113421,0.08395674011424444,0.09889517724514008
48,0.08481763725412672,0.7371140361081808,0.043681768978776715,0.14274352142583444,0.028449918118346566,0.0834542428476901,0.08004239201545715
49,0.08675008528168761,0.8157471898110275,0.043040713701361984,0.15342735314559988,0.0299472470243749,0.07810995937591295,0.08236873894929886
50,0.08255258745744896,0.7217886398897151,0.04186166811538523,0.1389940926545752,0.03275375185452475,0.07674025156252219,0.12375981360673904
51,0.0811704286671914,0.6738193692208083,0.03887068057046842,0.12957763609194556,0.032967279667294354,0.08099187754544146,0.12723059952259064
52,0.08399491904441893,0.6819494101023219,0.04079750347535466,0.13239063299349282,0.03398819292936769,0.08540455468964911,0.1573956310749054
53,0.08531718324568746,0.7411131786962986,0.037400275256068656,0.13793069003324437,0.03375550519082974,0.08439683310457569,0.1420876830816269
54,0.07968440664520056,0.6690343530735928,0.03696985735315649,0.1272647853132188,0.030629296001406753,0.08097479712400416,0.158737912774086
55,0.07651497479035675,0.684200249848637,0.03909951852695794,0.1312567658586264,0.027965308964702607,0.07109686520306822,0.15937751531600952
56,0.07382651531983396,0.6787090375279656,0.037650819269876734,0.129230564735318,0.025785185245070293,0.06738413589670364,0.11281290650367737
57,0.07597260534098199,0.6733796218135689,0.03487653583971879,0.12609126240741167,0.02462679025038043,0.0770463686121324,0.07977425307035446
58,0.07980385562494735,0.7002447586967041,0.03525314924807783,0.13025195059788158,0.02522109248802434,0.08342169026843752,0.08627143502235413
59,0.08129801002620721,0.7159285893386976,0.03611751277935485,0.13323338085926098,0.026092895134022832,0.0841590360779465,0.09650282561779022
60,0.0804341686952016,0.73138868278627,0.03704380978178981,0.13623593449671553,0.022861600134355564,0.08198362110961716,0.08912336826324463
61,0.08161685586912001,0.8041269718385697,0.037388102003815794,0.14692222626592352,0.023491825453550018,0.07533405838554073,0.07479948550462723
62,0.07802483377224327,0.7203539879079942,0.03635527396459365,0.134069375956508,0.025080167068698953,0.07531244272661289,0.10117072612047195
63,0.07592114102652231,0.6566597304980962,0.033347972236121515,0.12239250913068934,0.02421184986238555,0.08050432370399582,0.09088544547557831
64,0.07729003902851829,0.6619560057522724,0.03388707870265866,0.12361121113831776,0.023503157772526016,0.08382253453143698,0.10494886338710785
65,0.07974442603039757,0.7305410343967059,0.032737878803246835,0.1324240438880267,0.0232175928309371,0.08311073945450001,0.10031595826148987
66,0.07622096523001928,0.6758667559798593,0.03382267568077769,0.1255432585806465,0.021036362117514022,0.08135048627166258,0.1156332865357399
67,0.07432881088129967,0.6943060882793076,0.03639121060920144,0.13037905027635946,0.02098168477753575,0.07196358675141576,0.12585242092609406
68,0.07256854026918394,0.6797207183401732,0.035789413551148445,0.12777959994958055,0.02176430666748433,0.06871256745032406,0.08270858973264694
69,0.07464186499525167,0.6676483899442376,0.034422326052644836,0.12488319232287237,0.021416862614969327,0.07725258066633064,0.06670159846544266
70,0.07923276798439928,0.7034449958703788,0.034827183596448284,0.1303440139212955,0.023187704820228142,0.08354985805826484,0.05973045527935028
71,0.07930358715491681,0.7106665387490472,0.03513206608426341,0.1316369907506611,0.023512692651369405,0.08232889169924457,0.07166961580514908
72,0.08075334323417542,0.7395390990841231,0.037364148447731095,0.13767485568150137,0.021857541765011864,0.0824808461282833,0.05376821756362915
73,0.08198205683692414,0.8074199157842856,0.03869853071636053,0.14851587144034983,0.022386540729166467,0.07591104565321462,0.06513059884309769
74,0.07718737050276712,0.7041223711191956,0.03751933155527746,0.13274833720726578,0.02433172907079354,0.07482021088930768,0.09386061877012253
75,0.07451074420274827,0.636244700147505,0.0339134370960849,0.11996076038914492,0.023808593312831767,0.07910636206832816,0.10718850791454315
76,0.07736863861796689,0.6522478882735212,0.03458473062197149,0.12282232457219289,0.024304615913520677,0.0840276832744096,0.12039357423782349
77,0.08051570975244472,0.7171485928479404,0.03481756573983189,0.13229342675527597,0.023701206010761627,0.08492289814894012,0.11092662811279297
78,0.07750629363104436,0.6679941964055194,0.03441199934030026,0.1249237417781887,0.02347361529664436,0.08329462004489306,0.1286371797323227
79,0.07594421920167402,0.6900992427686179,0.0348996479529062,0.12849959006943643,0.02488320620853476,0.07463665606137876,0.14175747334957123
80,0.07356189012892295,0.6850543064899366,0.03230803276004299,0.12555750043574207,0.025927845023086545,0.06974552057806309,0.1108238622546196
81,0.07518691634532436,0.6582328227261394,0.03140493159515514,0.12095177318529574,0.027790767080196597,0.07661429721733623,0.07037333399057388
82,0.0798057076986294,0.6911980271547091,0.03295704071933542,0.12699146735296024,0.02857895971817611,0.08334157248398658,0.06361359357833862
83,0.0804559817017252,0.7166631299469867,0.03260432854521961,0.13032701445975775,0.027592423076560308,0.083074441835466,0.07319385558366776
84,0.0805583420516096,0.7374345674779312,0.034151117848920984,0.13462018208163673,0.026174455509989848,0.08084013274925311,0.06022551655769348
85,0.0820200936988235,0.8309468130475609,0.03412231350524887,0.1479543848684363,0.02612330486228742,0.07323727915738137,0.06443480402231216
86,0.07813546950286242,0.7395883551475391,0.03371905419013793,0.13455752575548097,0.027907432227480353,0.07271570289778051,0.08070425689220428
87,0.07680908015364207,0.6641566331436467,0.03061838760194961,0.12112385125076346,0.027891017964332996,0.0808369598593063,0.1185780018568039
88,0.07711153608047049,0.6677124955862297,0.03115930343865553,0.12209547374545185,0.026321669919277695,0.08219172351465548,0.08859109878540039
89,0.08030049386941891,0.735033247047748,0.031233123921709818,0.13177599865400097,0.026570316498411073,0.08227333238254145,0.12059143930673599
