time_index,origin_a_jacobian_energy,origin_b_jacobian_energy,origin_difference_jacobian_energy
0,0.01165861643884065,0.009574898838764057,0.02590746636269614
1,0.006731236214233961,0.012706763472773932,0.019955857798257575
2,0.006863967579972398,0.0119978463917505,0.024319147000954087
3,0.008696134884043463,0.011771655874326825,0.02111938056935157
4,0.00592975653749558,0.010967259831626766,0.02057795219090102
5,0.007266686329135804,0.015766748002663786,0.015657907343536084
6,0.0058185829672895905,0.011384680650995247,0.017777252867485265
7,0.008132010099611111,0.008993436326688555,0.017561836276269917
8,0.007243723296726655,0.006778662305025916,0.014289724519975218
9,0.00696216722592778,0.010125931053023254,0.016322570229281803
10,0.0066437839892127416,0.008785829683932076,0.013268121597190787
11,0.00976992240923989,0.008854792226754529,0.01513892031341259
12,0.011314114950697072,0.0070549361428545255,0.023985184978560677
13,0.008916283109491425,0.01061742935728814,0.02171531379488962
14,0.006720892708731948,0.01294557743572763,0.027368764742277563
15,0.009952153823438234,0.007846165889142347,0.014942901982327126
16,0.008458731165904152,0.010049961087393708,0.020620376378896514
17,0.008626083186494984,0.01004606859143158,0.012853724906952786
18,0.0069392335468104905,0.012330638053494372,0.018238191817155375
19,0.010417610810171547,0.00672558562863352,0.01634769352884697
20,0.012945329134319243,0.005831346890772693,0.02097461376771597
21,0.007837821191060357,0.01250645418102587,0.022528125862923583
22,0.010053369503501537,0.007735341870492058,0.018112442871954824
23,0.009997949449046115,0.010716122001343007,0.022932559210208377
24,0.012276381121150084,0.005482428846465025,0.024787139613181353
25,0.006663253663906029,0.010951926594965957,0.020644480229488442
26,0.005785877413083134,0.01014413621409663,0.01943976299870493
27,0.012339359560948131,0.01122901143389754,0.018818941574344144
28,0.007448002155537584,0.008787751497168626,0.019455319179022417
29,0.010289718164131045,0.008775236346991733,0.014726119535875373
30,0.005504988599568605,0.010490894546299907,0.017051397772905017
31,0.010990780582817803,0.006017627543769777,0.015023918215384973
32,0.010074554293948625,0.00700808375716276,0.016525108408781568
33,0.011180732170552281,0.00949991010877836,0.020126337925570885
34,0.008744414155704103,0.0091574552435694,0.019445942315672125
35,0.008734993478615902,0.010385444633097254,0.018165800271422734
36,0.010431025597167068,0.00693430496903602,0.022568777735744203
37,0.0060327281160945335,0.008463000400557317,0.01619231069759865
38,0.006985253386249367,0.009845531578840954,0.01975751924328506
39,0.009354627458378673,0.007688267748952577,0.015955734149818972
40,0.009015681068246652,0.009209594581209655,0.023075900373182127
41,0.010020482769635106,0.009565927824171792,0.015754355595813
42,0.006890786140242459,0.010859566062988182,0.0200114055353749
43,0.008403154821800334,0.008457083325733297,0.018323602969758213
44,0.009794918055246984,0.006844379962006185,0.01553933771875953
45,0.007617645094537043,0.010735047311754897,0.01659563306436342
46,0.009064585490185502,0.009347288707171433,0.01853394543286413
47,0.00948436338304808,0.008865347086352162,0.019379323830695024
48,0.010849025574446256,0.0070125852299887425,0.02416224859189242
49,0.008472060901112854,0.011758511607435398,0.024902097307079072
50,0.006859221838697392,0.01067661919348341,0.0231488432369328
51,0.010689520867474909,0.008150807344853612,0.019643712901077897
52,0.009174071834422648,0.008635924767336942,0.019781300249243423
53,0.00867475667369685,0.010184196613928569,0.016423159482656047
54,0.0069918753454528216,0.012721871612094609,0.022022984098709588
55,0.011755193363309704,0.009584239006341835,0.020622215067435588
56,0.010739450945818265,0.007931063926662318,0.017925937926130637
57,0.008015771223914012,0.009150484765996225,0.01806780250210847
58,0.00847882082702459,0.006359806858069662,0.015121841902977653
59,0.01022991434937077,0.011678724271145515,0.022177987033501267
60,0.012707624285082732,0.006369210226694122,0.026723590554736023
61,0.009472553747140669,0.010285261960234493,0.02569245405694736
62,0.007922448614928206,0.008148128865286708,0.02198838977242953
63,0.00906865974788421,0.008034397251321934,0.016382175688964447
64,0.006242898816708475,0.007639462922400396,0.014429927903360553
65,0.011637190415058285,0.011721947313552456,0.014857219207832324
66,0.006293600244264651,0.011666296989590461,0.019613334618043154
67,0.01007784202062924,0.008937071426771581,0.020459319090670242
68,0.00799941408331506,0.009179254336881318,0.01710144692333415
