window,spectral_l1,dc_l1,non_dc_low_l1,low_band_l1,mid_band_l1,high_band_l1,prediction_mse
0,0.07561004941162422,0.5589807200356453,0.04678065014800534,0.11995208870338246,0.0290965616483501,0.07751006682420063,0.12294172495603561
1,0.07186480410050934,0.47702600722651256,0.049634630366852374,0.11069054134680383,0.028361473910937678,0.07595769792587688,0.13105405867099762
2,0.07047752407241385,0.4612729472003626,0.05114799596152397,0.10973727470992947,0.030412381696094552,0.07118224184386705,0.14508983492851257
3,0.07279240685271482,0.45708986812831653,0.05303022366485046,0.11075303001677418,0.030731526281415605,0.0763801320840497,0.16046279668807983
4,0.07570295542353915,0.5050877100007779,0.054778547714466885,0.11910842804108275,0.029588949457633972,0.07807292210335554,0.1405450999736786
5,0.08027225765592465,0.5921843654648762,0.0546311056633347,0.13142442849212635,0.029054550991540452,0.08032960150558434,0.13179683685302734
6,0.0798336832629595,0.6018553791310719,0.05264401430788775,0.13110278071119977,0.029705898626928323,0.07883503455227657,0.1204022467136383
7,0.07658923345572671,0.563862292844501,0.048225537027767974,0.12188793071587267,0.029018138510965637,0.07857758142976495,0.12971776723861694
8,0.07382470353976683,0.560066517639206,0.045040327595693604,0.11861549760190966,0.029204248558952945,0.07367565684360405,0.12342369556427002
9,0.07322066744104573,0.5602156703171537,0.041604516351922416,0.11569182406124115,0.028310145135926185,0.07535511241535434,0.09894012659788132
10,0.07853668342436201,0.6128899391787401,0.04152243440871591,0.12314636366157652,0.028729435959086724,0.0830845547489152,0.09475091099739075
11,0.07999032479696325,0.6325906419420158,0.04142986771401736,0.1258814068894457,0.027277546031476172,0.08595930938584229,0.12694574892520905
12,0.07633025829741134,0.5102285153770684,0.04229297221596743,0.10914090695326759,0.02692349603873007,0.09085185769988326,0.18565057218074799
13,0.0700640892773921,0.43407289837179486,0.04558153712051174,0.1010803030135522,0.027085949269260313,0.08053077476536732,0.1987011879682541
14,0.06765702348788388,0.4386044249951759,0.04563418053905428,0.10177278688992877,0.02828051689585129,0.07226017377912311,0.17334994673728943
15,0.06832271849036843,0.41714448718108665,0.05010704128543181,0.10254096212766821,0.029008103416461022,0.07278204349740011,0.15797707438468933
16,0.0726635601109695,0.48771288204653984,0.05268472204337462,0.1148316020438268,0.02895157145967169,0.07401451348960494,0.11355175822973251
17,0.07974090381628128,0.5785442583417242,0.052399987886535326,0.12756345509441944,0.02738618855482548,0.08370654730168418,0.12301076203584671
18,0.07977618846708216,0.6049593692537752,0.050614755126775844,0.12980684285920432,0.02721400830523024,0.08199127351559571,0.1471504420042038
19,0.07820456622029584,0.568143142884959,0.049647347350191405,0.12371817528372962,0.02902523861343773,0.08141206994579211,0.13911141455173492
20,0.07534405740423909,0.565742555441476,0.04829712342196143,0.12221789942474923,0.0301984480398805,0.07383185383010649,0.10857848823070526
21,0.07622999999763423,0.581377058513967,0.04649461717386896,0.12290639450816869,0.029314804938306332,0.07643895047782848,0.08733272552490234
22,0.0781616216734797,0.6181503542307143,0.04557323673958651,0.12736996780974763,0.028846658403777935,0.0782549116652343,0.0980050265789032
23,0.07958382831448808,0.6409458035467356,0.04558597184207084,0.13063737637130865,0.028746145757325862,0.07939494600228703,0.10300599783658981
24,0.07492001408744309,0.5260611838712019,0.04774956194845345,0.11607979365170326,0.028125486083572522,0.07985041897210221,0.13046115636825562
25,0.0707190830882212,0.4463007543978804,0.04912734853246228,0.1058664065132363,0.028450001680807087,0.07695062132282032,0.13366082310676575
26,0.06783412596037051,0.4387021249011296,0.047067410010143196,0.10301522642314125,0.027104619243628385,0.0726889814325955,0.1631762683391571
27,0.06791746883216465,0.40097753866663866,0.04648570551382233,0.09712739596422468,0.025988052699943597,0.07904702170730558,0.1922115683555603
28,0.07493637801433334,0.4863558155357142,0.048483107016370285,0.11103635109056229,0.027715569159432733,0.08466710932067104,0.17634199559688568
29,0.08133951182126903,0.5904764693944231,0.048598926583498146,0.126010004127916,0.02883001103194138,0.08819864424361465,0.17450855672359467
30,0.08016050194734517,0.5868358510193072,0.044228072822654306,0.12174346970789043,0.02908116510010588,0.08846982489820246,0.15003806352615356
31,0.07442156137465879,0.5219640011990538,0.04150102577209582,0.11013859369023268,0.030617947817414448,0.08149731996112045,0.16308611631393433
32,0.07350401474563427,0.5489402529766676,0.04066393808589883,0.11327484021315153,0.02960087086405597,0.07711979335793766,0.157993346452713
33,0.07519835874406712,0.5609244382384784,0.03821512675798117,0.11288788554090934,0.031867490107360195,0.08013453285394875,0.11591702699661255
34,0.07942865326446524,0.5992091755049657,0.04030710299804763,0.12015025621332162,0.03007304211212452,0.08698341044251404,0.11932437121868134
35,0.0807985672190188,0.5947292842197638,0.04063905871106573,0.1197948052123083,0.03378074274528526,0.08781745538940736,0.1545640528202057
36,0.07839703594708586,0.4674076655973651,0.042462787897740294,0.1031691989976867,0.03428578960997762,0.09531873382277986,0.2114233523607254
37,0.0720338113271171,0.3968679756131731,0.043347142127159476,0.09385011833944713,0.03543058963190401,0.08497236167463973,0.2339354306459427
38,0.0688134594364139,0.4011335624548181,0.043630068663838006,0.09470199634826375,0.03446113671722617,0.07621927201783454,0.23164983093738556
39,0.07291372176040915,0.400874039579305,0.0491267338302122,0.09937634893722545,0.035835486614532557,0.08220237873333688,0.21735113859176636
40,0.07413245714791979,0.4737928163766872,0.04833932736963014,0.10911839722778116,0.03192274535762401,0.08045325739454992,0.1348031908273697
41,0.07915069788560963,0.5173772131162662,0.04572998376693588,0.11310815938826878,0.03297919069659024,0.08983798786117486,0.18680043518543243
42,0.0784463350402995,0.5400629502608632,0.044116688049552565,0.11496615407973979,0.03133809370100995,0.08771120455266762,0.19137901067733765
43,0.07400541931822785,0.4965388682023387,0.042453547450053725,0.10732287898609442,0.029405272960802826,0.08387777017159145,0.1483953297138214
44,0.07205440621676834,0.5147289179477684,0.040150733271637526,0.10794761679679908,0.02901029638486145,0.07831144306215997,0.13451290130615234
45,0.0735734489665726,0.5394099524487734,0.0400531645688219,0.11138984855167212,0.027309302924446593,0.08096522711647075,0.13376934826374054
46,0.07372965595015114,0.56357764915303,0.038611622357107,0.11360676904223886,0.027250384156683325,0.07950654481385876,0.13825441896915436
47,0.07713117184711131,0.5861589210201454,0.041080852257215465,0.1189491477947769,0.03074548996045765,0.08112791454372587,0.13434509932994843
48,0.0729713177839906,0.4793088475218188,0.04108934879520137,0.1036921343275753,0.03220718079098167,0.0817592231772368,0.1624024212360382
49,0.06846637311181146,0.4034981191858529,0.040245511122606346,0.09213874084592726,0.03330647893342643,0.07851795875054704,0.16913330554962158
50,0.06698887024160728,0.39260886279305973,0.040783466429807576,0.09104423733884359,0.034427644160660076,0.07443149685235433,0.18522438406944275
51,0.06721954048179217,0.39044875944931334,0.041511045009786945,0.09135928992971928,0.032082560577154216,0.07684211713141414,0.20776109397411346
52,0.07186213344551366,0.4503590772647422,0.04168208871567292,0.10006451565125425,0.03207357439203878,0.08200003818728119,0.18200959265232086
53,0.07571893181436197,0.5184417601371697,0.042256233707223596,0.11028273748293017,0.031516096666056884,0.08415308260913178,0.16141478717327118
54,0.07408257915229272,0.5214100879546655,0.03915709506598747,0.10805037976437004,0.03138558648983248,0.08172062219637774,0.1555987298488617
55,0.0701207015571842,0.4840555070975402,0.03768436363426437,0.10145166984330377,0.02883198731952246,0.07883372926478359,0.14722688496112823
56,0.06753517984082412,0.5080314294398458,0.034241725581863114,0.10192596899014635,0.02715951115416074,0.0727719494359976,0.1630035638809204
57,0.0692848063151955,0.5185434804541678,0.03236822533555517,0.10182183320964266,0.02586796025416384,0.07880464808595694,0.1352941244840622
58,0.07219315090274511,0.5485714749249498,0.03398926409919247,0.1075010085028721,0.024456973611769902,0.08306793063223732,0.1277664452791214
59,0.07369340727469717,0.5704442415983851,0.0349249885373323,0.11142773897462556,0.024316971090277535,0.08388024869862698,0.10858801752328873
60,0.06998635521938718,0.45544389550539044,0.03344931420464341,0.09373425439046441,0.025647702034169686,0.08800326498175992,0.18989147245883942
61,0.06543765413719074,0.37867204539093086,0.03525139771738121,0.084311490242174,0.025813710234782756,0.08359399845993738,0.16558311879634857
62,0.06339534275440564,0.39864211415591394,0.037241431910478344,0.08887010080268343,0.026726886115371076,0.07318982902131782,0.2012081891298294
63,0.06518648858191514,0.3918521359336863,0.04080416647070662,0.09095387639398944,0.027110292328185737,0.07595669596836335,0.13716983795166016
64,0.06656282014165317,0.4483224429389223,0.039286170027162205,0.0977199233002708,0.024254308113747552,0.07632030290228017,0.09448038786649704
65,0.06974976825091234,0.503454930662134,0.036934700812935616,0.10358044793424967,0.024757727292164435,0.07951595936689657,0.10269344598054886
66,0.07061452605268248,0.5288064990028178,0.035710829954816115,0.10615306839024494,0.02296583579328409,0.08121090548428894,0.12975725531578064
67,0.06777322863856292,0.47760385946764405,0.03587227332762502,0.09897678563334202,0.021554572517039176,0.08091144037446447,0.11953413486480713
68,0.06738673402057895,0.506399958479898,0.035555639178081494,0.10281911336405528,0.02214207820264277,0.07597247593573128,0.08002437651157379
69,0.06888684154491544,0.5235423832309595,0.034615291258400495,0.10446201868305176,0.02110580932816489,0.07956696473870287,0.07550254464149475
70,0.07073057825031172,0.5685891601528175,0.03593747518122171,0.11203057303430683,0.020972104485174836,0.07813174735881079,0.09103713929653168
71,0.07170260767506498,0.5774419754427629,0.034698457024522726,0.1122332453699856,0.022475496957920487,0.07931202156951087,0.09539449959993362
72,0.06770575462008802,0.46471217761829614,0.03414074643245588,0.09565095088757591,0.023943709740915507,0.08154549715531204,0.12549257278442383
73,0.06308255653416645,0.37663305421892246,0.03533312285578646,0.08409025590766303,0.02395696324188017,0.07893571371310742,0.12670908868312836
74,0.06323088461023801,0.39451788285912925,0.036572498173198055,0.08770755312833109,0.025995699048681226,0.07439458702326876,0.1500377506017685
75,0.06216133023695181,0.371030470301807,0.03715940604743809,0.08485527236949078,0.024053830673052747,0.07564819298939186,0.17808841168880463
76,0.06851266249116704,0.44978662253219265,0.036438455847964894,0.09548819394571173,0.023988942396195107,0.08386732755154089,0.14615477621555328
77,0.07211703996594164,0.517015755713132,0.03598623892458217,0.10470474132294642,0.02579318951203507,0.08413617042573071,0.13489654660224915
78,0.07205601098658344,0.53690669902939,0.03500215755221636,0.10670280633466975,0.024820970793640033,0.08307072522583343,0.14480094611644745
79,0.06970920610626,0.4854852073880257,0.03672909486256227,0.10083711093762848,0.02615007920164263,0.08058652542035277,0.1427444964647293
80,0.06684593059825827,0.5076569710471301,0.03323663732721698,0.10101097071577601,0.025373564704612727,0.0732398406523701,0.15335330367088318
81,0.06799830492034951,0.5266665245950726,0.028891462986211754,0.10000218607319188,0.025769278418383106,0.07694530710083305,0.10452625155448914
82,0.07113145897465417,0.5710853820820374,0.030231569932051523,0.10749640023919237,0.025287061179832777,0.07942598343865195,0.08745665848255157
83,0.07376699160369043,0.5711804537595714,0.03175883150062992,0.10881906325190727,0.027166442220985097,0.08387190962136785,0.09801628440618515
84,0.07054122468662932,0.45369139747304604,0.0301527005630146,0.0906582286930191,0.028284989085121653,0.0899130523323575,0.15863050520420074
85,0.06544837278154296,0.38023274824663894,0.0339282064885188,0.08340028388253597,0.03058294629756984,0.08024769874165055,0.1859770566225052
86,0.06336018586979049,0.4015023201373934,0.03295889574387476,0.08560795637152029,0.03156635034944321,0.07171299276108078,0.17399387061595917
87,0.0649319385440633,0.40957102836847403,0.03590205474780358,0.08928333669361366,0.028213043584680183,0.07575349825266697,0.18811504542827606
88,0.0650767951646718,0.46009132248664,0.03315146792735998,0.09414287572154281,0.027703356980538132,0.0723457330885266,0.13427723944187164
89,0.06893505709263774,0.5044784057373043,0.03180588339387796,0.09933052944293887,0.02685450880966177,0.07915949853372821,0.1259704977273941
90,0.07080874572010169,0.5274821760737611,0.03267710877970045,0.10336354696456627,0.025969979180799237,0.08155721535308481,0.1728408932685852
91,0.06867686976759198,0.4863828141550249,0.03512616947119404,0.09959140442602703,0.02553073375424889,0.07937952095313652,0.12192089110612869
92,0.06585202683051719,0.4996220044525255,0.03261616395373818,0.09933128402499351,0.024211042054119756,0.07299353846469817,0.11459189653396606
93,0.06760869545397306,0.5136344840268199,0.031686450042676305,0.10053616918326824,0.023644508148072275,0.07726581983350296,0.08938594162464142
94,0.07023963405857542,0.5774596823923441,0.031664991121602,0.10963566130313661,0.023231051431681183,0.07690062001811684,0.10940471291542053
95,0.07216072454343792,0.5842138470079871,0.03182242886659639,0.11073548860108076,0.02699687004145961,0.07792617868223141,0.08950154483318329
96,0.06835652522999536,0.4685562527742204,0.031309918458221585,0.09377368050336428,0.028862671342096396,0.08067363651770917,0.10578763484954834
