window,prediction_mse,layer0_spectral_l1,layer1_spectral_l1,layer2_spectral_l1
0,0.12294172495603561,0.06867736123126045,0.09348968546837666,0.07561004941162422
1,0.13105405867099762,0.06788400248073329,0.09134489610774642,0.07186480410050934
2,0.14508983492851257,0.067617852175318,0.0897860432783752,0.07047752407241385
3,0.16046279668807983,0.06885076118885315,0.09314575646721296,0.07279240685271482
4,0.1405450999736786,0.06787569067091558,0.09328200773734481,0.07570295542353915
5,0.13179683685302734,0.06833714611217151,0.09657472563280699,0.08027225765592465
6,0.1204022467136383,0.0704447743701867,0.09764544049936004,0.0798336832629595
7,0.12971776723861694,0.07127884508672769,0.0932736476758854,0.07658923345572671
8,0.12342369556427002,0.07000074764914083,0.09299911728934901,0.07382470353976683
9,0.09894012659788132,0.07088358683995763,0.09630085278912058,0.07322066744104573
10,0.09475091099739075,0.06945230740259033,0.09463846193727349,0.07853668342436201
11,0.12694574892520905,0.06856286320980319,0.0951784033929653,0.07999032479696325
12,0.18565057218074799,0.07147910874023433,0.0962681748578853,0.07633025829741134
13,0.1987011879682541,0.06980609773336595,0.09218924339880327,0.0700640892773921
14,0.17334994673728943,0.06826842604472133,0.09175178024391989,0.06765702348788388
15,0.15797707438468933,0.06785099295809052,0.09455466143422978,0.06832271849036843
16,0.11355175822973251,0.06647360757544465,0.09381978632442137,0.0726635601109695
17,0.12301076203584671,0.0666363115251216,0.09653680852158808,0.07974090381628128
18,0.1471504420042038,0.06988992126379434,0.0974623787391042,0.07977618846708216
19,0.13911141455173492,0.06899868499394851,0.09314351730407883,0.07820456622029584
20,0.10857848823070526,0.06798061120624972,0.09306380767947352,0.07534405740423909
21,0.08733272552490234,0.06839274254493398,0.09586752830518606,0.07622999999763423
22,0.0980050265789032,0.06765922629176473,0.092850573845447,0.0781616216734797
23,0.10300599783658981,0.06741782556104405,0.09415242388820276,0.07958382831448808
24,0.13046115636825562,0.07123861026969878,0.09711677537510593,0.07492001408744309
25,0.13366082310676575,0.07089634485538962,0.09346423816713938,0.0707190830882212
26,0.1631762683391571,0.06858335000516597,0.09012537094026883,0.06783412596037051
27,0.1922115683555603,0.06803062427656464,0.09378046746941791,0.06791746883216465
28,0.17634199559688568,0.06730535882955274,0.09361988355548387,0.07493637801433334
29,0.17450855672359467,0.06773293254769144,0.09713043201764951,0.08133951182126903
30,0.15003806352615356,0.07153940246794441,0.10197840249078145,0.08016050194734517
31,0.16308611631393433,0.07208960352587797,0.0956593162448236,0.07442156137465879
32,0.157993346452713,0.07125180385003037,0.09553915424442348,0.07350401474563427
33,0.11591702699661255,0.07084977123367898,0.09894325453309406,0.07519835874406712
34,0.11932437121868134,0.06991106717528149,0.09760747323316837,0.07942865326446524
35,0.1545640528202057,0.07025707757331323,0.09924254357747592,0.0807985672190188
36,0.2114233523607254,0.07421319959372295,0.10097022569441086,0.07839703594708586
37,0.2339354306459427,0.07418584715755659,0.09727297068644075,0.0720338113271171
38,0.23164983093738556,0.07225317278964152,0.09641159097041033,0.0688134594364139
39,0.21735113859176636,0.07118023372214977,0.09867023105317414,0.07291372176040915
40,0.1348031908273697,0.06907937844030877,0.09730289447037216,0.07413245714791979
41,0.18680043518543243,0.0695091557401003,0.09976794613569896,0.07915069788560963
42,0.19137901067733765,0.07282754089539752,0.10178124867562989,0.0784463350402995
