time_index,mean_abs_gradient,mean_signed_gradient,finite_difference_response
0,3.559741817514892e-05,-9.88467666101791e-06,
1,2.6809301549032432e-05,-1.007891870619644e-05,
2,3.0728988739221154e-05,5.951339852356645e-06,
3,7.648003191293573e-05,-4.386266971560341e-05,
4,8.010096092090992e-05,-4.532940413138844e-05,
5,4.113139563005894e-05,-1.3805461619009223e-05,
6,4.53874979592954e-05,-1.4920565245842473e-05,
7,1.8366928413472904e-05,1.5593733051911754e-06,
8,4.09294652421349e-05,-9.539601627073763e-06,
9,1.923061136364725e-05,-2.074122397134813e-06,
10,3.1508114683934506e-05,1.3992378760435422e-05,
11,6.752390033528042e-05,2.5190187609983434e-05,
12,7.2329133412755e-05,2.6141812870015374e-05,
13,3.92904381940406e-05,1.3135379073706385e-05,
14,6.206380967774922e-05,2.690330537749982e-05,
15,3.963264227769243e-05,1.70943412517285e-05,
16,4.203371175511469e-05,1.4702592992981473e-05,
17,6.070140943847946e-05,-2.2741717943729e-05,
18,6.150725578533769e-05,-2.0483765481349975e-05,
19,4.44963838422804e-05,-1.6512353002304908e-05,
20,4.0538904862668935e-05,-1.0618974017905289e-05,
21,3.0335611178261822e-05,-9.220107379634545e-06,
22,4.706680976509926e-05,-1.908896406835733e-05,
23,5.569236422854287e-05,1.621889889185419e-05,
24,5.135385810631089e-05,1.2674972986863914e-05,
25,4.6298801277901346e-05,1.8701081325543457e-05,
26,4.661525719841718e-05,1.6427701801208493e-05,
27,3.668156427054436e-05,1.6401813277291294e-05,
28,4.10144112677136e-05,1.4830188045304263e-05,
29,5.58461597393034e-05,-2.1498920294978536e-05,
30,5.7573660623824077e-05,-2.0864883517950667e-05,
31,5.785930094740858e-05,-2.7724795087026776e-05,
32,4.1324598820816995e-05,-1.4269858671208827e-05,
33,3.8183574480128646e-05,-1.4233044346329257e-05,
34,4.3833911994235155e-05,-1.650066439023725e-05,
35,6.0797388522630735e-05,2.2925750154659647e-05,
36,6.208434879659936e-05,2.639212085785489e-05,
37,5.4690530781781056e-05,2.7039363566976654e-05,
38,5.4956745186375754e-05,2.4748171871432794e-05,
39,4.5365696288562117e-05,2.133657754722576e-05,
40,5.0146676520463575e-05,1.7470043504528932e-05,
41,8.045066172036015e-05,-3.79725031669815e-05,
