dataset,seed,MSE_mean,G_origin_pct,G_interior_pct
ETTh1,42,0.4945819173970658,21.384539091231854,14.97579494954633
ETTh1,43,0.5283153243855209,32.50093669679003,20.14212958927066
ETTh1,44,0.4956472939799412,14.211458168369415,13.739461414361543
ETTh2,42,0.2742465918686347,17.712598587386765,9.485185790319079
ETTh2,43,0.27023150368916016,19.62863849346881,9.082970448348952
ETTh2,44,0.2664484106112111,14.554122656281386,9.129264583033113
ETTm1,42,0.33472565740142984,6.675168162870215,4.432710136607563
ETTm1,43,0.33915071981803085,20.787054142553313,20.787054142553313
ETTm1,44,0.32283866259683297,10.237247638874779,5.382824156437572
ETTm2,42,0.2051682567398105,25.045513601702403,25.045513601702403
ETTm2,43,0.19945312800666934,19.326827634613135,19.326827634613135
ETTm2,44,0.21711010199274497,30.999016351815538,30.999016351815538
Weather,42,0.1496920276781368,3.777445887975007,3.777445887975007
Weather,43,0.15091488619639518,2.4785961398742478,2.4785961398742478
Weather,44,0.15107944807107712,1.7138650629147931,1.7138650629147931
