epoch,seed,MSE_mean,G_origin_pct,G_interior_pct
5,42,0.6717177498789294,57.720112966555284,45.479013851874946
5,43,0.6916579224759755,63.97607373719816,63.97607373719816
5,44,0.6969860947927621,52.30959602836566,50.16495486065004
10,42,0.5211866558011272,24.558566634993333,17.482457253400153
10,43,0.5588866891839187,30.873239377631634,26.80618543161679
10,44,0.5172881223553603,21.521724363589758,12.700634611755167
15,42,0.5106923791308474,36.41557720533821,13.098864633580526
15,43,0.523877405664931,28.418872589452835,21.441885515708698
15,44,0.5001470840621202,15.580969357614512,15.580969357614512
20,42,0.5130334612314131,17.80673111655737,11.236797262729997
20,43,0.5176891123921075,36.61045130626084,11.64049831276044
20,44,0.5139244545741958,18.34007362073436,8.707910782630025
25,42,0.5134777072325343,18.708269201283933,8.091149149002947
25,43,0.5176475110174036,20.00665686502778,20.00665686502778
25,44,0.5140906951048138,13.070481863389302,4.346537554526512
30,42,0.5102351949625094,9.652213276737823,9.652213276737823
30,43,0.5147577084687,19.88578266440633,19.88578266440633
30,44,0.523687802161908,7.021658827292589,6.958470330297163
