dataset,MSE_mean_mean,MSE_mean_std,G_origin_pct_mean,G_origin_pct_std,G_interior_pct_mean,G_interior_pct_std,seed_count
ETTh1,0.5061815119208426,0.019175844113936517,22.698977985463767,9.21531705452351,16.28579531772618,3.3964121750712195,3
ETTh2,0.27030883538966866,0.0038996657388596415,17.29845324571232,2.5624821986678223,9.232473607233715,0.22007583314931894,3
ETTm1,0.3322383466054312,0.008435688409598055,12.566489981432769,7.338621048512307,10.200862811866148,9.180210473083196,3
ETTm2,0.20724382891307494,0.009009616111192536,25.12378586271036,5.83648800843703,25.12378586271036,5.83648800843703,3
Weather,0.15056212064853636,0.0007580016395125843,2.656635696921349,1.0432473428167426,2.656635696921349,1.0432473428167426,3
