token,mean_abs_contribution,mean_signed_contribution
0,0.015298582315205794,-0.010784780358517102
1,0.0057327654707439255,0.001792110051359885
2,0.0046679696358243134,0.001842247355008184
3,0.0044435274923078855,0.0007882591165474193
4,0.005216378045972902,-0.0003261636364085875
5,0.006833632605167135,-0.0014847648952662615
6,0.008336085142193295,-0.0025932484212574467
7,0.006938007675649797,-0.0032550382958940185
8,0.006222177808497664,-0.0016109226634047817
9,0.006213958253229572,9.536855337897761e-05
10,0.006046476076709552,0.000805436322555585
11,0.005617430755774693,0.0004548382637700658
12,0.004812632921283493,0.00048194423578261516
13,0.004483938453598866,0.000928015066667771
14,0.004072018853248071,0.001554980967883234
15,0.004052448295569596,0.0011002064850766683
16,0.0032954821586108837,0.0003828386846834737
17,0.0039273285789616945,-0.00022220318271939867
18,0.004920703702589745,-0.0019055986361433748
19,0.005304061272104995,-0.002953966730411912
20,0.004631169780029035,-0.0005925764953257408
21,0.005225726349729928,-9.463889070987337e-05
22,0.0047829738965524705,-0.0005332474227259852
23,0.004405867597377931,0.0002298772376610172
24,0.004310319921411806,-6.630021738498427e-05
25,0.004000127448505043,0.0006098493946346252
26,0.003962409305129568,0.0004854236070169117
27,0.004087295779743118,0.000623898016844926
28,0.004428098430802721,0.00032491391581973046
29,0.006806307255029265,-0.0005873887260204244
30,0.009955236982657309,-0.0030749734430186304
31,0.010343094435254904,-0.006312307941322812
32,0.008050565704226203,-0.0026553492694486695
33,0.00809802899885026,-0.00036574827189694484
34,0.00805664381443714,0.000609390841039416
35,0.008041232985935304,0.0012478686829652135
36,0.007706517529655887,0.0014096565975299765
37,0.006808532505609137,0.0019413043708619722
38,0.006190091771031193,0.0030623870489632833
39,0.004901794800023189,0.002126208434865406
40,0.00508250680944548,0.0015645492106173614
41,0.013397423118889355,-0.0005032225696967386
42,0.04960543403493997,-0.008816079748635765
43,0.04392448620453765,0.0012899402521448426
