epoch,lambda,loss,L_pred,L_cons,scheduled_batches,scheduled_examples
1,0.3,0.6100293923460145,0.5711267630776121,0.12967542215641953,252,8033
2,0.3,0.5421768158069512,0.5110413463210964,0.10378489472026711,252,8033
3,0.3,0.514800582815193,0.48783598654922833,0.08988197895083899,252,8033
4,0.3,0.49632743807906277,0.4730239766673669,0.0776781996946977,252,8033
5,0.3,0.4755468330540011,0.4548414131631356,0.06901806088661355,252,8033
6,0.3,0.4459786196581887,0.42695432339690476,0.06341431617526275,252,8033
7,0.3,0.4234698298234772,0.406401404523618,0.056894747071273295,252,8033
8,0.3,0.4047384572981838,0.389156482621265,0.051939913892874334,252,8033
9,0.3,0.3867376198006436,0.3735340728856819,0.044011819466334506,252,8033
10,0.3,0.37833335454016087,0.3661747801189596,0.04052857894830236,252,8033
11,0.3,0.3724465346656908,0.3608623246512644,0.03861403176912288,252,8033
12,0.3,0.36672164321494816,0.3559973338658525,0.03574769640382906,252,8033
13,0.3,0.36376575533693434,0.35340778466759737,0.03452656498475871,252,8033
14,0.3,0.35991098417242096,0.35005200086918564,0.03286327690268222,252,8033
15,0.3,0.35676106934483315,0.3469812231759539,0.03259948716281761,252,8033
