origin,MSE,MAE
0,0.5331365910220257,0.5003364237234632
1,0.47613618291434995,0.47856769852004377
2,0.4854120645593088,0.4842553170455558
3,0.5010306033092254,0.49401098631310464
4,0.525904312093109,0.5092812790793805
5,0.49290422017362795,0.49131419833995993
6,0.4907417935414856,0.48914648511099673
7,0.4881124052186433,0.4865059391780725
8,0.4828719844311961,0.4828678792467912
9,0.4790969888061208,0.4800940806077222
10,0.47483491756376156,0.4784344419336442
11,0.4889586454810563,0.48574856438583386
