time_index,origin_a_jacobian_energy,origin_b_jacobian_energy,origin_difference_jacobian_energy
0,0.006006806210193429,0.009162641072180122,0.020355862354682314
1,0.016804564106721608,0.029079796302886235,0.010208621543521682
2,0.013262607617348078,0.006603557326819836,0.00770684484935676
3,0.02161512654718189,0.012063385868844177,0.011362361275435736
4,0.006177249336836948,0.014760278783450346,0.016174335819890813
5,0.0025044578339605194,0.04709810387742307,0.034262860437766426
6,0.004491985930750768,0.036037980346009135,0.030601708495634653
7,0.00421332806720221,0.034869757103955464,0.03872520716062614
8,0.0018611928161200403,0.011888973209785209,0.01123222605037015
9,0.0027725282097457067,0.01645623395840327,0.023013838555752522
10,0.003475796054339125,0.006040553986427507,0.006940358343334603
11,0.005299372857691543,0.005459287189989395,0.011048960565988506
12,0.0456124772982938,0.00218765374336813,0.05321166467010265
13,0.04151920756946007,0.014222316005976782,0.07890803060893502
14,0.01342303743253329,0.002879192198937138,0.02416675260645293
15,0.019730085562471123,0.008818862893219506,0.042619967799899836
16,0.0054012258174008735,0.013289924306307165,0.023726396462214843
17,0.004687346168793738,0.03446750474783281,0.030503640904845225
18,0.0029390931900014124,0.02566360744337241,0.03540854303476711
19,0.014846144981371859,0.017836272943809274,0.04155463168752335
20,0.004717979139448809,0.0100294509680853,0.020191409381195194
21,0.010933856817982382,0.005850019058146115,0.01947383526601784
22,0.01546617089548991,0.003464545349180255,0.014697552625355976
23,0.04678738622793129,0.004659644328057766,0.032102920015209487
24,0.03358857843670107,0.00230242050089319,0.03365427652551305
25,0.02336086638803993,0.008326102547081453,0.031426461158497704
26,0.0114344629581042,0.003595033861486064,0.024423813835407298
27,0.006785700607690073,0.007427851101272695,0.021932609373747948
28,0.0034939877916171794,0.008785237547098881,0.012529857767124971
29,0.003921476086058344,0.02010065509516391,0.02063339923153676
30,0.0016509015709050886,0.028449194771902903,0.03249907011299261
31,0.0065157359488131035,0.0216908286868905,0.029463646999959434
32,0.006082148598839662,0.011325389994973583,0.029401282214426568
33,0.00930920758262454,0.004987745028865035,0.016112138045996073
34,0.010232300364545413,0.004627437818618048,0.01521642031591563
35,0.02747861732773128,0.0031208866650039063,0.019309405459179765
36,0.0377706397613067,0.0020465390358973914,0.03379402022498349
37,0.02809235109903273,0.005090769126711946,0.031843129268270876
38,0.012607248045415395,0.0042995091034321205,0.027228299484011672
39,0.005634064352350487,0.014656280272728986,0.02748264737116794
40,0.004471182442059563,0.013396381073453952,0.01988502500379192
41,0.0022345914656484852,0.03553713743929707,0.031894000457777155
42,0.0015553178749368748,0.055232431539999585,0.06184391229457799
43,0.004280758108333906,0.05426327715672198,0.06651351711757127
44,0.0066564709885001535,0.017635218815744987,0.042484669303078024
45,0.018118255810501676,0.007520440697026927,0.04252293479761907
46,0.016139470822443918,0.002987493631995416,0.015045810346713378
47,0.045398221018591096,0.007291833421082369,0.028946259979247338
48,0.06272108260808247,0.0028403816021247102,0.08374317223206162
49,0.0608708429638119,0.014320015330754575,0.11739443708211184
50,0.018976086445729293,0.009718014268271093,0.05146326333106983
51,0.00935740960717556,0.036429766742956074,0.07549500334564418
52,0.0027489602244237347,0.029059503349431214,0.025296232230695232
