time_index,mean_abs_gradient,mean_signed_gradient,finite_difference_response
0,0.00916546626935347,-0.005513283159533954,
1,0.00419804624678883,0.0020557728377233225,
2,0.004026224346619399,0.001095006197812966,
3,0.0039002796298258807,0.000401779885545953,
4,0.0038295851869146907,-0.00023982298686015774,
5,0.0038719689146091696,-0.0008472181235837135,
6,0.005610783786583592,-0.0011648763997007855,
7,0.0038909003869775916,0.0011755910840065553,
8,0.003376738629283084,0.00044039912650565123,
9,0.0033391772633746897,0.0008844159361700576,
10,0.0031489876507423886,0.0007029624381524562,
11,0.002956973260292476,0.0006573716036406552,
12,0.003827426519040143,0.0013014457965869752,
13,0.003811369138670021,0.001860941661740461,
14,0.0033229465251289575,0.0006040086248617627,
15,0.0033879927637566914,0.0006512479815471904,
16,0.0033382076139137746,0.0001756463121765758,
17,0.0030841144762234762,6.954787706295715e-05,
18,0.003979570089930868,0.00047166540009259606,
19,0.003923028972557014,0.0012187216677677875,
20,0.003333723240627608,5.982990017270952e-05,
21,0.0035140659960494042,0.000891120435166418,
22,0.0035382855296899962,0.00045403560222366323,
23,0.0033761609626838307,0.00038573415448515746,
24,0.004148199497909185,0.0009086556568271524,
25,0.004410495450429153,0.002086142308177687,
26,0.004077943702733526,0.000491060677679757,
27,0.003934040649515477,0.0008189279195006195,
28,0.00379021267677412,9.828693435614306e-05,
29,0.0035607157182572075,-0.00010805052666488077,
30,0.004496341544966397,0.0003238783720576066,
31,0.004706598249738038,0.0014809882031353741,
32,0.003800295484584889,0.00021758906184134373,
33,0.004145637461728516,0.0010409113797596856,
34,0.004226997274080142,0.0006822194556142287,
35,0.00381448855400127,0.0003915100930709871,
36,0.005230069914822317,0.0012265723766416517,
37,0.00473212159288648,0.0017011730967543112,
38,0.0040716383570855086,5.753723457603753e-05,
39,0.004216475749282316,0.0006036216510340507,
40,0.004482821815794783,-0.0002736148183138149,
41,0.004220417691093254,-0.0004205337492879023,
42,0.004889471786035366,0.00014062343391937508,
43,0.0042883192989912845,0.0007899857785186473,
44,0.003918647491705737,-0.0003985104513576841,
45,0.004155183168612504,0.0004851397514573007,
46,0.004815715441509383,5.567908153482547e-05,
47,0.004167903035912397,-0.00026850633126481886,
48,0.005129060720459425,0.0004006702000164556,
49,0.004319785156050264,0.0011225221565983442,
50,0.004438435103501044,-0.0006488078224293758,
51,0.004439183973642814,0.0003703081563019493,
52,0.004814490318884574,-0.00044042951981282386,
53,0.004340218946838702,-0.0006305500988048607,
54,0.004783531473939158,-0.0003166039144031986,
55,0.004327459380874643,0.001426086475849583,
56,0.0039197483113509535,0.0004695118939780839,
57,0.0038916015582799446,0.000969687223541119,
58,0.004035808601007115,0.0003303956735578595,
59,0.003924662846007517,-0.00018282039294246845,
60,0.005592144039837876,0.0005363201460275897,
61,0.004498572958514809,0.001101477701922704,
62,0.004112945197578354,-0.00013863047026672705,
63,0.003701927714895906,0.0005236447651181411,
64,0.004600471622584986,-0.0005376573310026547,
65,0.003763091581276967,-0.0005902765309104195,
66,0.004231365579731313,0.00027142198988120266,
67,0.003759671780374317,0.0009026588261593003,
