window_id,stratum,forecast_mse
515,0,0.08810197561979294
614,0,0.09313692897558212
732,0,0.05591462925076485
818,0,0.08699125796556473
974,0,0.07443465292453766
1283,0,0.0852089375257492
1299,0,0.08592375367879868
1514,0,0.09030637890100479
1629,0,0.07725700736045837
1630,0,0.061657700687646866
1667,0,0.07794439792633057
3022,0,0.08445589989423752
3132,0,0.0741678923368454
3237,0,0.058089807629585266
3240,0,0.05561278015375137
3269,0,0.09461358934640884
3515,0,0.06243618577718735
3599,0,0.07831751555204391
4716,0,0.08979746699333191
4776,0,0.08740780502557755
5253,0,0.07152901589870453
5256,0,0.07499679923057556
5422,0,0.08284489810466766
5759,0,0.05523794889450073
485,1,0.10887666046619415
775,1,0.1297258734703064
1227,1,0.12399803102016449
1235,1,0.10250509530305862
1417,1,0.11559368669986725
1720,1,0.09886251389980316
1893,1,0.10740203410387039
2018,1,0.11050130426883698
2118,1,0.12367060035467148
2319,1,0.10915116220712662
2355,1,0.12068819999694824
2364,1,0.11271567642688751
2528,1,0.12592288851737976
2553,1,0.12361574172973633
2671,1,0.12466714531183243
2683,1,0.10115911811590195
3604,1,0.11366451531648636
3626,1,0.10852929949760437
5103,1,0.13337883353233337
5132,1,0.09770754724740982
5282,1,0.12101559340953827
5393,1,0.11291822046041489
5476,1,0.1311182826757431
5770,1,0.13059554994106293
379,2,0.14347994327545166
463,2,0.16470016539096832
1170,2,0.1435490995645523
2552,2,0.13584178686141968
2705,2,0.20746031403541565
3363,2,0.16852892935276031
3365,2,0.20797647535800934
3978,2,0.18775972723960876
4026,2,0.23954759538173676
4198,2,0.20986534655094147
4374,2,0.17497222125530243
4406,2,0.19186362624168396
4409,2,0.21145819127559662
4435,2,0.16583222150802612
4481,2,0.1734115034341812
4533,2,0.20642739534378052
4722,2,0.15109118819236755
4826,2,0.1514299511909485
4891,2,0.14905066788196564
4937,2,0.14661738276481628
4955,2,0.21851816773414612
5584,2,0.13760673999786377
5738,2,0.18650618195533752
5739,2,0.18271178007125854
