origin,MSE,MAE
0,0.6935025999609712,0.5707572247640645
1,0.5563166662821459,0.5152249667589837
2,0.49667725007414043,0.4915525280330635
3,0.497485289541008,0.49405398692124824
4,0.5535394652854682,0.5197333519445374
5,0.5053708297675044,0.49661621986208604
6,0.5005369776340912,0.49459802668165337
7,0.5029072568109637,0.4961464137568661
8,0.4998601620633727,0.49496857974943986
9,0.5063270606711433,0.4984459628982954
10,0.5084529210337808,0.5004042900056973
11,0.5294037150620857,0.508400998593335
