epoch,lambda,loss,L_pred,L_cons,scheduled_batches,scheduled_examples
1,0.01,0.5716829939342949,0.570053136179549,0.16298576188862107,252,8033
2,0.01,0.5125105238993676,0.5110644596044174,0.14460633794089472,252,8033
3,0.01,0.49070913062569926,0.4893961985693259,0.1312931228220856,252,8033
4,0.01,0.4737703143051489,0.4725278904440096,0.12424231309489624,252,8033
5,0.01,0.44893177050471555,0.44784883424856736,0.1082936925429804,252,8033
6,0.01,0.4239331379553219,0.4229469687677804,0.0986169697966097,252,8033
7,0.01,0.4004822325308771,0.39962836604745783,0.08538664734858468,252,8033
8,0.01,0.38692353740213936,0.3861728598702582,0.07506777591920798,252,8033
9,0.01,0.3746372425888598,0.37400288535028114,0.06343577372564795,252,8033
10,0.01,0.3680044352770831,0.3674225770461074,0.058185904330510095,252,8033
11,0.01,0.3630278991477569,0.3624726914460196,0.05552084478758926,252,8033
12,0.01,0.3579024585731653,0.3573888712893621,0.05135873167942637,252,8033
13,0.01,0.35531891611405064,0.35482015909359726,0.04987563306369981,252,8033
14,0.01,0.35127687060594054,0.35080313908865335,0.047373162483506405,252,8033
15,0.01,0.34804780427521853,0.3475747042013613,0.04731005100310999,252,8033
