time_index,origin_a_jacobian_energy,origin_b_jacobian_energy,origin_difference_jacobian_energy
0,0.19649863556870037,0.16194510454356315,0.303184604760082
1,0.15395367583481684,0.3620526262980309,0.4979529026230531
2,0.15516877747584312,0.18044952325899863,0.339095366786101
3,0.09842138297279321,0.17978547206924608,0.26217414867798133
4,0.09726001838931725,0.12300944856611923,0.23555322306319362
5,0.11841065325729903,0.07591601410725464,0.1908322265039065
6,0.17127463931129092,0.19132558099504204,0.29879387819562997
7,0.3091332826741217,0.1899624975797321,0.4416064716698158
8,0.15554061804765038,0.2392789342169029,0.35717410754988943
9,0.16297926875718294,0.14878866016321504,0.2594622415268705
10,0.11041076443091567,0.20570571803892518,0.27054117737515343
11,0.10960939058124841,0.25276189742864863,0.2916038790163362
12,0.10560844345240011,0.34761936483084266,0.38658335726774695
13,0.09199111336576087,0.5415322398933183,0.5736144032284972
14,0.10646664172444227,0.2705744542902158,0.3265693311779095
15,0.06832750123881158,0.3013242073800592,0.2999836018674874
16,0.08526511240190648,0.18717014750221833,0.21293668392380433
17,0.0997370206057981,0.20321112909697972,0.22593449993569048
18,0.1686411972761908,0.10999928104380767,0.24616244928689585
19,0.3152285754137362,0.10262809894491165,0.38219947973266244
20,0.16130747973442167,0.12630148826810045,0.2798087453536157
21,0.16547928560924316,0.09458803021836848,0.25011851573141203
22,0.10757431823627225,0.13291124337203136,0.2221514752600342
23,0.08928563132871031,0.14698089497341288,0.20795139117122052
24,0.0870711121796852,0.24199064992301697,0.26728251290374566
25,0.07600039962701322,0.45062832014879123,0.45974161472570685
26,0.08817593284350421,0.20037887361277604,0.23914651916406693
27,0.07013527382653029,0.2116320966632061,0.22434731559007473
28,0.09154507464319024,0.14132689220076872,0.1906274425065411
29,0.10087377978544239,0.11886967566706949,0.17380620502600713
30,0.18776062450792996,0.08681867221769478,0.24220570509455033
31,0.38557354585334125,0.06992103668328907,0.41517881328417433
32,0.1844189450798911,0.07188700511220045,0.24424183451836662
33,0.1898635177792693,0.04240438960342934,0.2246314462113549
34,0.12228971183122624,0.051287280642316635,0.16688352995662994
35,0.08936854596028015,0.062047426926992125,0.13959282913821794
36,0.08512263098687288,0.1330845382707637,0.19612563888741924
37,0.06807644663300987,0.29212296416517347,0.35569291724823415
38,0.06674569126889332,0.13825647857239737,0.18955885881136747
39,0.03826959745354196,0.13233468336762771,0.13813058142772033
40,0.048325609299354255,0.08213380099152259,0.10554684610438667
41,0.05896382224247126,0.05904853557114534,0.09125799812110406
42,0.16111292947261108,0.11733330884904024,0.2759153153969064
43,0.3723653914251675,0.08479271956214991,0.4551419819195178
44,0.16905900289947612,0.07647588846018716,0.24321799095819838
45,0.15965801633761398,0.0426805312800709,0.2001272129460371
46,0.08183468947841209,0.04732741159802702,0.12133162071750987
47,0.05754256504587829,0.060964417344491394,0.1096622446230391
48,0.07442742221922215,0.14510558810850074,0.20326273698204508
49,0.056801820578541426,0.34478480527953553,0.3992144010872358
50,0.05554759963360127,0.16557465783885814,0.19795199717018044
51,0.034587411963868706,0.1484472552367065,0.14908208091565894
52,0.03952708477681015,0.0980072095990181,0.10845033436115566
53,0.05301708834927662,0.06418840303861846,0.08622292035891276
54,0.1296952110923095,0.061849953925480976,0.18738336442592776
55,0.29704507553972126,0.05434863592242999,0.3457281867408061
56,0.14612138807950986,0.05599762333579184,0.19323306233577786
57,0.13504268515749746,0.039539183783788415,0.16872005854799813
58,0.07423563564883634,0.04442062860609786,0.11412794718385808
59,0.05096080865145528,0.06209264826473026,0.10812026772847665
60,0.0576857638938929,0.17837637613272472,0.22015841441073766
61,0.049027415872496066,0.43600968839157195,0.48587719029525206
62,0.05748134713697558,0.17194362626954293,0.20345086926716335
63,0.04252223751973361,0.15901556104100087,0.15861620101800544
64,0.047905886150796766,0.07468703957939786,0.09612910440912292
65,0.06763204779625605,0.05373508498139147,0.09248238968818139
66,0.1898806327427294,0.10884181515125203,0.26533592730161865
67,0.4468899125211118,0.07120568945261073,0.4839665626752235
68,0.1940417380870453,0.07274143735966868,0.2453999514525224
69,0.18689378365802223,0.06551462549915803,0.22496837580443493
70,0.07866342174210808,0.08156742344588219,0.1469532638633003
71,0.061635593783908656,0.10558355509281336,0.14773046366393655
72,0.09039540411738146,0.30190199964757386,0.34052249286989017
73,0.06303298703417004,0.739145606063262,0.7719905037499432
74,0.08409601099057389,0.3111936572018922,0.34896933927666396
75,0.08176661469042301,0.29207499853856417,0.30134761082341094
76,0.10308545665022739,0.15815667234849007,0.2377950226267179
77,0.14047802215957614,0.10423393953325492,0.21706117761676155
78,0.41071152578141273,0.08005445010383569,0.48466129353203413
79,0.9427022609660136,0.059555982161934175,1.0210604939299326
80,0.43816556762682185,0.07719363699877813,0.4916424416948021
81,0.4072578266052352,0.0660986616941435,0.4399654445615375
82,0.17009816136366376,0.08250933556701057,0.21530853713574333
83,0.12146798896026753,0.12095872964432818,0.2003346052841239
84,0.08333666855192166,0.30573428051623824,0.3686609352949918
85,0.0656663994221682,0.7004574444089529,0.7608483070840261
86,0.09012255120268535,0.3310385945757541,0.36256703204430996
87,0.07362420432036743,0.31655069424804033,0.30248291564307045
88,0.09060888849281971,0.13212343936209522,0.15343287615992485
89,0.1378371420252647,0.09914071665843949,0.16605117833352692
90,0.3748587381352471,0.09116909773244213,0.4595858578104526
91,0.8701497414177062,0.0713750226145965,0.9297796754676494
92,0.40998502052666264,0.08852771586472434,0.48283739521035124
93,0.3798839627110976,0.06248844008604508,0.4178826397595306
94,0.14903710172456203,0.07299946339168985,0.20616846376409134
95,0.10753183977933423,0.10468603393972098,0.18574990020022683
96,0.12427389773906075,0.2572856533058387,0.3656854818885525
97,0.10077754140643048,0.5882369153855723,0.6928276977213543
98,0.1453950258991903,0.2873921271751724,0.40548771668025957
99,0.08566116023853067,0.2786775359944884,0.3020125197335368
100,0.09860673103858494,0.1263634572387673,0.17623973791931002
101,0.1358712423174265,0.093548133941589,0.17851811290962533
102,0.32142555600425804,0.15297413328551643,0.4436173130081789
103,0.7367266662851242,0.12320552293455139,0.8228990623971358
104,0.33836131978369804,0.15134495703802844,0.4547177404719627
105,0.3287107027274379,0.07851954506726802,0.36705140729567837
106,0.1620564588644941,0.09374172377145096,0.2112515529152006
107,0.11250999964041901,0.1344773797484647,0.19452422146042364
108,0.1462431332828211,0.31949115663051736,0.43781948558587047
109,0.12052543995170188,0.7398066942169819,0.8594401416790095
110,0.1577495186162802,0.398399962494815,0.5248939838825858
111,0.07920780852769635,0.38658303775758085,0.41137995558147805
112,0.09040170386599909,0.19746419057316547,0.23198376655844705
113,0.13083690602936604,0.15187089265479395,0.2200749289033757
114,0.30157772314158227,0.151086066832899,0.4581754426028402
115,0.6707721794789124,0.12481557484161818,0.8107504939349989
116,0.3645729528368628,0.1659928542240301,0.5451386995624662
117,0.3652883010550535,0.08353709310038193,0.4570356541302144
118,0.1847889197524637,0.10489068419251237,0.29364894257326213
119,0.14033815402737154,0.13730478197907187,0.26393446993149283
120,0.16311369040825716,0.2269100666522891,0.3329100805512142
121,0.13630292306299366,0.47119330524999115,0.5851833013363094
122,0.18137768622199518,0.28377622187725227,0.4359705650546987
123,0.09968882859019297,0.2889797639633928,0.33944579249890966
124,0.11595526692690328,0.1871280806926301,0.2557839689876086
125,0.14258919157908254,0.13707288849954716,0.21458138129673898
126,0.2566476704239557,0.24168494691894876,0.45996174449655447
127,0.5271455925789529,0.21562416291341097,0.7277285839386639
128,0.31172971095656976,0.2493389826600573,0.5423831883762475
129,0.3186737161733964,0.11897331834327252,0.4064188560559636
