token,mean_abs_contribution,mean_signed_contribution
0,1.030190962635677,0.12424593941780902
1,0.42174621628250186,-0.001018358379264834
2,0.4114894961764072,-0.002327153832288228
3,0.35730803036545833,-0.00614146964767611
4,0.37034830069543817,-0.0067425045509901605
5,0.4624059020197084,-0.0005903975752430579
6,0.4987587559910415,0.014611651989265536
7,0.4784830112840733,-0.005686475752811407
8,0.49999047862787926,0.002573474520628194
9,0.5481063432510798,0.0005176801605420657
10,0.563718599902459,0.005194477722314229
11,0.5236484250309053,0.003777047985381994
12,0.5714705963219643,0.0038320035664321838
13,0.528958431915335,-0.0022510299655959733
14,0.43531774896086917,-0.009881651947242049
15,0.36239871764942105,-0.00864712889517658
16,0.34649750593748646,-0.007563773480657466
17,0.40837629950796683,0.0024000407841355776
18,0.4005347037158397,0.008745311308655628
19,0.4410907181040395,-0.0003813755871514625
20,0.44904261820475444,-0.0034524031790885276
21,0.432737079533466,-0.001331721866446808
22,0.4643747618719416,0.0009255425382503604
23,0.4650833061812499,0.0044232790267402485
24,0.4109640572198957,0.0034397772520061835
25,0.4405535149032054,0.0012698399088061773
26,0.41449638353202267,-0.006507615364111933
27,0.3614340835863445,-0.007074687887063452
28,0.3308638512037763,-0.008087384718113948
29,0.40504249791256075,5.897845797455474e-07
30,0.5061027636135542,0.01288728761826965
31,0.5231778479152632,0.0025864174656703032
32,0.5379216109820085,-0.010979574259515757
33,0.5700180663415945,-0.006711678160223425
34,0.637659459046445,0.00036584687208549683
35,0.6245422640931138,0.004434380058600157
36,0.5580696343330582,0.00420150896599604
37,0.4989867999420581,0.006663511740376743
38,0.46667722146483087,-0.000372482799074558
39,0.35324441589811445,-3.375616855275157e-05
40,0.30704919345998083,-0.0017058217947503404
41,0.3810467738497282,-0.003238464769086242
42,3.2146463346334353,0.38302643492361066
43,0.2634824497655545,-0.00438550473626631
44,0.11575130191478379,-0.0011813496975263038
