epoch,lambda,loss,L_pred,L_cons,scheduled_batches,scheduled_examples
1,0.03,0.5746598601318987,0.5698714110558347,0.15961507011748008,252,8033
2,0.03,0.5149851912254861,0.5107717849569274,0.14044684532101834,252,8033
3,0.03,0.49282044921333285,0.489001305042755,0.127304853417687,252,8033
4,0.03,0.4758982333243005,0.47230558510840526,0.11975492859697721,252,8033
5,0.03,0.45105664736824197,0.44791271591800896,0.1047977439370055,252,8033
6,0.03,0.42568278426208694,0.42282618372077946,0.0952200139052475,252,8033
7,0.03,0.402048097413043,0.3995651420584714,0.08276515981335725,252,8033
8,0.03,0.38790541776725723,0.38572615275981936,0.07264216543987652,252,8033
9,0.03,0.3753572705116127,0.3735169994420019,0.06134237725225997,252,8033
10,0.03,0.36866403375083895,0.36697523071239674,0.056293425686656504,252,8033
11,0.03,0.36367387612744817,0.36206292306947985,0.053698419285461645,252,8033
12,0.03,0.3585304111617003,0.3570402206645041,0.04967302047147499,252,8033
13,0.03,0.3559273685010183,0.3544809311038454,0.048214569823257836,252,8033
14,0.03,0.3518964227645584,0.3505225159839068,0.04579690063656764,252,8033
15,0.03,0.3487036115322139,0.34733208101653196,0.04571766330242958,252,8033
