time_index,mean_abs_gradient,mean_signed_gradient,finite_difference_response
0,4.08116729020202e-05,-3.5511660076029524e-06,
1,0.00010867877556717888,-3.386366151843168e-05,
2,0.00013089780527696435,-4.292731263365654e-05,
3,3.871191227387628e-05,5.850232860265827e-07,
4,3.268070526289757e-05,5.0723818620077685e-06,
5,2.0402233011347043e-05,2.0869167534393843e-06,
6,4.890020997143958e-05,-1.225727743658922e-05,
7,2.1077786738845005e-05,-6.249511418418695e-07,
8,4.010207536945624e-05,6.882820128865996e-06,
9,7.178844013348377e-05,1.4181354927108222e-05,
10,7.447910498047436e-05,9.462764602457832e-06,
11,4.5495478042582926e-05,1.2721357713357542e-05,
12,6.230728630336151e-05,1.7406080241060062e-05,
13,4.0233589732538566e-05,1.0554775510992645e-05,
14,3.8759811895076945e-05,8.914507839040739e-06,
15,6.527783027974823e-05,-1.7143088932752582e-05,
16,6.765313401047024e-05,-1.20993347695595e-05,
17,5.1653650037527164e-05,-1.708997364636118e-05,
18,4.7509413391145204e-05,-1.0259167889479332e-05,
19,3.1162485454063115e-05,-4.8351827542449295e-06,
20,5.821668126026496e-05,-1.863897517886298e-05,
21,7.158371770509846e-05,2.1938071910199142e-05,
22,6.378758089773502e-05,1.5167867186334439e-05,
23,6.289707142145961e-05,2.558001494754708e-05,
24,5.356185567420436e-05,1.7800817224562187e-05,
25,4.4653195118371514e-05,1.8390774144450006e-05,
26,4.5156402014375395e-05,1.489456335157513e-05,
27,7.020597353229754e-05,-2.7296299857463662e-05,
28,7.29784732183838e-05,-2.4114498949805757e-05,
29,7.108438989061618e-05,-2.9072173581263477e-05,
30,5.649491320235982e-05,-2.20354676998335e-05,
31,5.005406913889081e-05,-2.097845774446092e-05,
32,6.350412026482186e-05,-2.3835125469011992e-05,
33,8.211569604013458e-05,3.1552640960864576e-05,
34,8.002265364363363e-05,3.0111169156130235e-05,
35,7.121862680443363e-05,3.0061843786267585e-05,
36,6.814640305275956e-05,2.8976807977003427e-05,
37,6.025090934123173e-05,2.770682912967004e-05,
38,6.354680685728367e-05,2.369927307605784e-05,
39,0.00010393990890276785,-4.431326734837577e-05,
40,0.00011746279146574947,-4.792484821927073e-05,
41,8.604373150384552e-05,-3.374066994256607e-05,
42,0.00010066418742228831,-3.7946412539164544e-05,
43,5.407297718799479e-05,-2.219823624911788e-05,
44,7.413491654179303e-05,-2.6604283188394868e-05,
45,0.00013028848245864668,5.467442802853384e-05,
46,0.00015414321833737805,6.395157313119983e-05,
47,9.808546807713962e-05,4.123266365598154e-05,
48,0.00012075648200628902,5.2120672995399564e-05,
49,7.333212962683839e-05,3.400010283255164e-05,
50,9.456644342468021e-05,3.53026954936722e-05,
51,0.00016664504692882822,-7.188005888619522e-05,
52,0.00017978270898311166,-7.652241197184768e-05,
53,0.00011516572162474317,-4.9323936922616796e-05,
54,0.0001278848832000568,-4.9592371384830714e-05,
55,6.853898657070767e-05,-2.9500215948021135e-05,
56,9.158179463632959e-05,-3.8273532094903895e-05,
57,0.00018060158115639795,7.629038975462013e-05,
58,0.00018803890556487853,7.681493009873261e-05,
59,0.00013042368711813608,5.940142514353803e-05,
60,0.0001447021586500341,6.395075710467306e-05,
61,9.568035128333057e-05,4.569508424978608e-05,
62,0.00012122122392438108,4.778704075512169e-05,
63,0.0001838270388058542,-8.627815914440449e-05,
64,0.0001753126652623732,-8.160515920624654e-05,
65,0.00012993696163037037,-6.058556728102563e-05,
66,0.00012715044695574935,-5.460080262223311e-05,
67,0.00010063047866857406,-4.31748964784685e-05,
68,0.0001283531081363825,-5.24199210054749e-05,
69,0.00017472625079660377,7.638466768628269e-05,
70,0.00017737503549142275,8.024746465669826e-05,
71,0.00012700283986348602,6.086493373285997e-05,
72,0.00012535867344489642,5.817585954744009e-05,
73,9.291152515461796e-05,4.807662299859723e-05,
74,0.00013262017039648657,5.9969000991107656e-05,
75,9.35766451047606e-05,-4.384408849024082e-05,
76,9.992258665512228e-05,-4.670017847934511e-05,
77,7.562541133579326e-05,-3.524292579895484e-05,
78,8.80126411478462e-05,-3.8597357162405476e-05,
79,5.293413431943572e-05,-2.1938806546085655e-05,
80,0.00011888679355685045,-4.916879595113988e-05,
81,5.387195051298477e-05,1.8657142669665728e-05,
82,6.662328362272958e-05,8.384540294778664e-06,
83,4.431724339935629e-05,1.9416011647132608e-05,
84,4.7414847899961475e-05,7.017891292770444e-06,
85,5.301842676479802e-05,-3.876643262401558e-06,
86,4.2789167775394854e-05,7.056861265077768e-06,
87,3.6000629842462894e-05,-7.73758754727775e-06,
88,6.710185172258727e-05,4.416212544269694e-06,
89,3.350560027250876e-05,-1.0125290226069086e-05,
90,5.6693405375491625e-05,-2.1975132344074327e-06,
91,6.652544418882047e-05,1.1107060258705051e-05,
92,5.27058569527331e-05,-9.760633136444257e-07,
93,5.1829879274529435e-05,-2.781292526573712e-06,
94,7.334390102187172e-05,-8.80859161374777e-06,
95,3.467481524023155e-05,3.0675412558015376e-06,
96,5.496379738663867e-05,-2.4535997780395475e-06,
97,6.82446060463484e-05,-1.4740402457662294e-05,
98,5.522779173632097e-05,-5.608999949793142e-06,
99,5.061488675329158e-05,5.4472874137750134e-06,
100,9.178000726976842e-05,2.5311875244174837e-05,
101,3.3548706391056405e-05,1.0316103743521342e-06,
102,6.577626302151614e-05,1.3410401393460211e-05,
103,6.686462224284437e-05,1.8602824286382375e-05,
104,7.028146239376621e-05,9.473959817879199e-06,
105,6.908674034396729e-05,-1.0834987564510898e-05,
106,0.0001064440283309003,-3.5901260481130935e-05,
107,3.4795074974508245e-05,-3.0574284585564254e-07,
108,6.920352565690077e-05,-2.0202450694265888e-05,
109,4.935300802615183e-05,-1.5822175922626986e-05,
110,6.0074976751084685e-05,-1.5346951839557644e-05,
111,8.31678449858806e-05,2.4728412842564684e-05,
112,0.00010239906164532018,4.1619267462811836e-05,
113,3.511573372417756e-05,7.911875123564219e-06,
114,6.724540911645385e-05,2.3965707919092526e-05,
115,4.348046120737438e-05,1.353486033126149e-05,
116,5.792549561755593e-05,1.263222342196002e-05,
117,8.092582822341466e-05,-2.6453662747830515e-05,
118,0.00010357117471791017,-4.390128700579442e-05,
119,4.019702467823143e-05,-1.1684693767560497e-05,
120,6.315087109344728e-05,-2.6115493469768852e-05,
121,4.686214846775069e-05,-1.9382724323758705e-05,
122,8.97400963843947e-05,-3.380058448649541e-05,
123,6.090887213109194e-05,2.0925267371127565e-05,
124,9.605569058684133e-05,4.457711737972302e-05,
125,4.08935341056349e-05,1.6543879579801667e-05,
126,7.364261286316573e-05,3.476855074712235e-05,
127,4.1216654023758436e-05,1.9053923289274755e-05,
128,8.502547782319154e-05,3.354050677119501e-05,
129,5.445203604332554e-05,-2.115523901598711e-05,
130,8.40087740514372e-05,-4.168954284553127e-05,
131,4.0260825644942264e-05,-1.703752324255263e-05,
132,6.466002525398618e-05,-3.029552471881895e-05,
133,3.3952048993125484e-05,-1.0550929907876274e-05,
134,6.767888773884763e-05,-3.154287328145854e-05,
135,5.877323051858444e-05,2.609857038309082e-05,
136,7.20026101546301e-05,3.909795325506864e-05,
137,3.3322072405488666e-05,1.6690214801583026e-05,
138,5.400755145230851e-05,2.8393938172771848e-05,
139,3.572502629096908e-05,1.645507347532094e-05,
140,5.4554427260016036e-05,2.825759951431364e-05,
141,6.115543698927337e-05,-3.0474602537889862e-05,
142,6.700334019374818e-05,-3.8574913299087365e-05,
143,2.6216614449887337e-05,-1.0315935475666666e-05,
144,4.7991241141668674e-05,-2.4567371138148463e-05,
145,3.0956345718940224e-05,-1.2710737229732721e-05,
146,5.180223964392402e-05,-2.61495175034757e-05,
147,4.2547491202207135e-05,2.18407150444342e-05,
148,5.0272786427826976e-05,2.763626915496042e-05,
149,2.776021855901317e-05,5.076947574471953e-06,
150,3.652949153764071e-05,1.9314751735269704e-05,
151,2.6009958738930955e-05,1.2798081975179662e-05,
152,3.789967604461708e-05,2.0667172790245742e-05,
153,3.8649758163869375e-05,-1.6970944021939733e-05,
154,4.511392171480111e-05,-1.7460228806818295e-05,
155,3.66332759053226e-05,2.722400185326651e-06,
156,3.570583298607657e-05,-1.605167644745466e-05,
157,2.4802921567849506e-05,-5.293408207593518e-06,
158,2.939662791894599e-05,-1.5861876691690756e-05,
159,3.539971394924838e-05,1.65651729522849e-05,
160,4.250429870331746e-05,1.1263084531487083e-05,
161,3.0729053085971305e-05,5.8697566088096126e-08,
162,2.7926554085275884e-05,1.3397092386653531e-05,
163,2.1167770022484112e-05,5.840090428101857e-06,
164,2.635328877702358e-05,4.432541373272911e-06,
165,3.271862963282772e-05,-1.0154125057565147e-05,
166,3.65176507503271e-05,-7.526708488047093e-06,
167,2.797770440295045e-05,2.2911210342680902e-07,
168,2.8312426203618607e-05,-9.99474247348211e-06,
169,2.39401567525766e-05,-1.4770122381454105e-06,
170,2.357549870101225e-05,-1.0988540296352767e-05,
171,2.8782075549402397e-05,4.86538745491147e-06,
172,4.466304042017284e-05,-1.7321332634878672e-07,
173,2.6304465401543503e-05,-5.373471156287581e-07,
174,2.7506124697971418e-05,5.022852504757293e-06,
175,2.3004599532734054e-05,-6.159600135766769e-08,
176,2.6858883356475244e-05,-7.254187884037882e-07,
177,4.167843970511361e-05,1.0384367851623027e-05,
178,5.5904641894379716e-05,7.840130411467039e-06,
179,3.510124113182385e-05,6.685893155682672e-06,
180,3.072565620987873e-05,-2.331522133030852e-06,
181,2.1192384738675346e-05,-3.1522288914570276e-06,
182,2.5334910408976914e-05,-8.839644424694728e-06,
183,3.2404563875215465e-05,-5.480694857358988e-06,
184,4.3285380018330344e-05,-3.874307775423144e-06,
185,2.6082673739005085e-05,-4.81922356683418e-06,
186,3.252576073550916e-05,-2.3392386582697455e-06,
187,1.9070148774907076e-05,-1.9637356864419887e-07,
188,2.9655791963921817e-05,-3.2893743678081525e-06,
189,3.2552576504669906e-05,6.372484282310541e-06,
190,3.829390390733135e-05,1.3515120955497922e-06,
191,2.0690799801957925e-05,3.272354220823239e-07,
192,2.8037486810630763e-05,2.205081181776742e-07,
193,2.0281166620233782e-05,-2.453831232471887e-06,
194,2.8718778042145588e-05,-7.082415636648962e-06,
195,7.97640785614411e-05,-3.039782241996493e-05,
196,6.864729957236531e-05,-2.3424677434002477e-05,
197,3.7376061419265516e-05,-1.2343937474634275e-05,
198,3.089517954755311e-05,-3.5988275426813655e-06,
199,1.9457604540071943e-05,4.432002462468041e-06,
200,3.056150275629729e-05,2.986378120118345e-06,
201,9.092050132018077e-05,3.632957445974329e-05,
202,9.040629248331589e-05,3.2905305126345886e-05,
203,5.853028194126507e-05,2.674978567608291e-05,
204,6.0460510125960266e-05,2.0452720693107213e-05,
205,4.839422258772261e-05,1.6814710976391434e-05,
206,3.435079691457975e-05,9.896006963978315e-06,
207,9.801739296173244e-05,-4.109318387875083e-05,
208,6.62858510189662e-05,-2.555124341603004e-05,
209,4.5100738220970104e-05,-1.9637502634038485e-05,
210,4.1084769961907154e-05,-1.4568950826441909e-05,
211,3.9944053111997035e-05,-1.554960948075517e-05,
212,3.0892171047352824e-05,-9.476158294285413e-06,
213,7.278646723664548e-05,3.135367190359213e-05,
214,4.975593911435031e-05,1.8404531808748797e-05,
215,4.643119774257121e-05,2.1075974293878408e-05,
216,3.488974747207456e-05,1.0603111156235573e-05,
217,3.544565812435827e-05,1.424774366737005e-05,
218,3.403626421805668e-05,1.3044783621629641e-05,
219,2.6051546142081773e-05,-4.931711650613124e-06,
220,3.329226548149087e-05,5.914424760146089e-06,
221,1.8258001735678892e-05,-3.5455236868759108e-06,
222,3.156301654815339e-05,5.227411038466996e-06,
223,1.771808665905285e-05,1.5775963832641623e-07,
224,2.997597796041061e-05,-8.68009662047782e-06,
225,4.793944723739211e-05,-1.8796226701481156e-05,
226,7.279254941749969e-05,-2.9884317037283854e-05,
227,3.791832909882942e-05,-1.3317062649572822e-05,
228,6.457178135730959e-05,-2.5233284763173525e-05,
229,4.955874560220677e-05,-1.897749426607983e-05,
230,7.081793929890929e-05,-2.1908081736553087e-05,
231,5.235137004568796e-05,1.9217540073903533e-05,
232,7.328544634652818e-05,3.3150953093414025e-05,
233,5.582623738778888e-05,2.1417858042533616e-05,
234,5.949079455344223e-05,2.3636538542637892e-05,
235,5.678608725983871e-05,2.2848789783927326e-05,
236,9.437467542738887e-05,3.5095787169547334e-05,
237,8.693155283860203e-05,-3.27687069497664e-05,
238,9.935702850530756e-05,-4.6204002998368176e-05,
239,6.57145018781843e-05,-2.413553848360347e-05,
240,7.593811755040882e-05,-2.782865842916527e-05,
241,5.468493925166383e-05,-2.006611725981938e-05,
242,6.792589307397499e-05,-2.298979939582967e-05,
243,8.035865520079304e-05,3.173922393359806e-05,
244,9.546652095845534e-05,4.760678116289525e-05,
245,6.37300838986578e-05,2.5134689561667756e-05,
246,7.929247939977185e-05,3.453852765000236e-05,
247,4.928443816728153e-05,1.98598065254817e-05,
248,7.526578470095133e-05,2.3635242504567378e-05,
