window,prediction_mse,layer0_spectral_l1,layer1_spectral_l1,layer2_spectral_l1
0,0.08880282193422318,0.07186590065306332,0.10133616441453584,0.07731345393092232
1,0.08868904411792755,0.07042920024525791,0.1022425419923592,0.07743431709118603
2,0.08504980802536011,0.06518212411075217,0.09976639321296848,0.07847807617637348
3,0.06667225062847137,0.06674903824265108,0.1036619124215006,0.07715276003376773
4,0.05778507888317108,0.07127798390683832,0.10317170186464229,0.07710633967926692
5,0.06761247664690018,0.07465259010770732,0.10495247792633343,0.08003751265939396
6,0.06638526916503906,0.07330001916854516,0.10640602032118672,0.08576107499177447
7,0.06988915801048279,0.07131893579607614,0.10741512121113983,0.08361667204421369
8,0.08281119912862778,0.06563902245542089,0.10101350124862227,0.07854659304347168
9,0.05889638513326645,0.0677937538264225,0.10389676154095003,0.07704426527003458
10,0.03988189995288849,0.0704899489932919,0.10017160821896623,0.07910223998390853
11,0.037410326302051544,0.07389742418718453,0.10124706740622734,0.07720851912025772
12,0.03583299741148949,0.07249022065935641,0.10217832393461253,0.07591972905850847
13,0.0469626747071743,0.06917541491815025,0.10312434115882202,0.07536812462659334
14,0.07004234939813614,0.06388140154730976,0.09861460506298499,0.07590161310369133
15,0.08916222304105759,0.06558971130909476,0.10357407612839414,0.07707776217278518
16,0.09141471236944199,0.06951322717871417,0.102562261434876,0.07538697305964571
17,0.06881944835186005,0.07301071471654998,0.10326288110538805,0.0770839608557131
18,0.07710449397563934,0.07214939943013038,0.10616750218027562,0.08434198944204092
19,0.0963267832994461,0.06958652722348113,0.1078262159893913,0.08375232365203994
20,0.08647626638412476,0.06377499664285793,0.09989820317801511,0.07895355862924731
21,0.05320312827825546,0.06592325291641796,0.10358842433899347,0.07802132684980713
22,0.06940598040819168,0.07063464239642775,0.10084894758596287,0.07921268424558338
23,0.09338422119617462,0.07408243912183574,0.10155108351146656,0.07642860739712042
24,0.10100254416465759,0.07347326283454199,0.10293446343299925,0.0771760063052631
25,0.10044180601835251,0.07072391345802966,0.10461172195579495,0.07849719210285887
26,0.08561655133962631,0.06445192610079166,0.0994020467872864,0.07814048387238526
27,0.0610232949256897,0.06616588723788448,0.10302372530455402,0.07732992063131629
28,0.05754247307777405,0.06998455273142916,0.10266449054295142,0.07736780223843391
29,0.07049830257892609,0.07450155515378297,0.10548617512213912,0.08056224396270441
30,0.061796098947525024,0.07494593134173172,0.1094116248936273,0.08526971888438063
31,0.06536559015512466,0.07133397739140904,0.11147525773136913,0.08411981838762729
32,0.08994344621896744,0.06548968999684779,0.10230259067979276,0.07852111320392702
33,0.07250092923641205,0.06746156736817378,0.10669604132522797,0.07905514353674427
34,0.055220723152160645,0.07097076308771938,0.10402164787919496,0.08050281114400532
35,0.05081288143992424,0.07556657230859107,0.10632897014409158,0.07787558223727177
36,0.04304392263293266,0.0761315197751764,0.10770563036418818,0.07670523655550597
37,0.04646778851747513,0.07270555382600362,0.10872556260744365,0.07869124156972966
38,0.07821892946958542,0.0673432492082517,0.10460070972778056,0.08053731341413926
39,0.09852609038352966,0.06872820040784283,0.1086619637639184,0.0810829535152682
40,0.09046899527311325,0.07274455398499792,0.1082075071874275,0.07975560358101258
41,0.08463088423013687,0.07623182989873406,0.10799890834037518,0.08169318451475026
42,0.13247087597846985,0.07629823002775987,0.1092461333624755,0.08814911694234297
43,0.1214260384440422,0.07203517526204035,0.10974623368644937,0.08620247707474135
44,0.13029900193214417,0.06648426793903682,0.10322284340937382,0.0790075374585065
45,0.07421104609966278,0.06730255201868789,0.10663699616101674,0.07644570508992336
46,0.07605250924825668,0.07205790598289483,0.10404088389710459,0.07579962753530074
47,0.10091705620288849,0.07502590933675869,0.1036914763373856,0.07465521076004847
48,0.11348739266395569,0.07543429356079018,0.10422550165499823,0.07387513037131922
49,0.12036934494972229,0.07149509788275353,0.10498095378937614,0.07691049959441015
50,0.11867039650678635,0.0673683546238955,0.103057536909002,0.078059526326013
51,0.08975160121917725,0.06832496119325714,0.1074917083472216,0.07944515178657101
52,0.08422859758138657,0.07277418023590149,0.10723710055576943,0.07841691780802904
53,0.08093948662281036,0.07560332188762896,0.10482179350874415,0.08073500182624174
54,0.08150176703929901,0.07531482267607305,0.10644701690315922,0.08430949523833564
